nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-toelichting,GGM-target-guid,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-type,GEMMA-guid,GEMMA-source-guid,GEMMA-target-guid,datum-tijd-export,GGM-guid,GGM-source-guid
455,leidt tot,,Association,nan,{71D7E96D-641A-4b6a-A325-DED07C3B5836},leidt tot,nan,nan,association-relationship,a38555ec-4b90-4a67-84c4-c97a851aaff6,e643dc04-a205-421d-ab23-c6da046b1642,c481e8b8-f7d7-4979-b767-ebf2a9b04712,18022026-151638,,
456,is voor,,Association,,{71D7E96D-641A-4b6a-A325-DED07C3B5836},,,,,,,,18022026-151638,,
457,geeft af,,Association,nan,{71D7E96D-641A-4b6a-A325-DED07C3B5836},geeft af,nan,nan,association-relationship,dad433ba-88dc-49b2-b406-0717c75dd53c,17a0d019-c25e-4bba-ae64-f381da597376,c481e8b8-f7d7-4979-b767-ebf2a9b04712,18022026-151638,,
458,geleverde prestatie,,Association,nan,{71D7E96D-641A-4b6a-A325-DED07C3B5836},geleverde prestatie,nan,nan,association-relationship,fa32d1d7-38c4-41fb-ab67-2f2dfe475477,cc667191-bb35-45a0-a231-504b663b70f1,c481e8b8-f7d7-4979-b767-ebf2a9b04712,18022026-151638,,
459,betreft,,Association,nan,{71D7E96D-641A-4b6a-A325-DED07C3B5836},betreft,nan,nan,association-relationship,13cdd42e-c8c2-4ab9-a24d-719eb310bc2a,57035c38-5be2-432e-88aa-ba59029c984c,c481e8b8-f7d7-4979-b767-ebf2a9b04712,18022026-151638,,
460,toewijzing,,Association,nan,{01ECE551-A7B0-4b99-B6E7-F654D6AC15D5},toewijzing,nan,nan,association-relationship,3cfe23d7-405f-4445-b49b-7c3b3f69c9bf,c481e8b8-f7d7-4979-b767-ebf2a9b04712,53cc8281-81c1-40c8-901d-2751e34ea367,18022026-151638,,
461,heeft voorzieningen,,Association,nan,{975C3DA3-930A-49d8-B54F-2A560DC2AD5A},heeft voorzieningen,nan,nan,association-relationship,3639a571-b6e2-4b74-af91-3ce591951b0c,c481e8b8-f7d7-4979-b767-ebf2a9b04712,38610e76-2c3e-429a-b30b-1fd21f05c8fc,18022026-151638,,
462,,,Association,nan,{DAF09055-A5A6-4ff4-A158-21B20567B296},nan,nan,nan,association-relationship,144fdade-9c7a-4b90-8ea8-db7dbb6bd916,c481e8b8-f7d7-4979-b767-ebf2a9b04712,2a859087-fe7f-412a-b057-bf1e3f249a4c,18022026-151638,,
463,is een,,Association,,{6B63630A-8A30-454d-B8C4-252D4C30A3BF},,,,,,,,18022026-151638,,
464,,,Association,nan,{5EDE0349-8865-4b90-9A18-235C5AA660C4},nan,nan,nan,association-relationship,8805e633-a464-4213-86ca-10b92bdad5f5,b883410b-ba90-45a0-a9f0-f16b8e1fa9ac,8d15d21d-4e39-4dcb-b9f7-be128f6b324a,18022026-151638,,
465,is gebaseerd op,,Association,nan,{71D7E96D-641A-4b6a-A325-DED07C3B5836},is gebaseerd op,nan,nan,association-relationship,071bbb7a-fc82-459e-a5f1-cbc34035a1ca,b883410b-ba90-45a0-a9f0-f16b8e1fa9ac,c481e8b8-f7d7-4979-b767-ebf2a9b04712,18022026-151638,,
466,is een,,Association,,{4E835898-6623-457f-99B4-C688D465F720},,,,,,,,18022026-151638,,
467,betreft,,Association,,{0FA25A4F-DF7F-4feb-9460-19D054E874F8},,,,,,,,18022026-151638,,
468,heeft,,Association,,{DAF09055-A5A6-4ff4-A158-21B20567B296},,,,,,,,18022026-151638,,
469,,,Association,nan,{BE7C28C6-0922-4c6a-A953-3D598D991AB5},nan,nan,nan,association-relationship,aab8994d-6e72-4724-9e2b-2c92f86039ab,7c5fd54e-88dd-4738-95ec-5164d6c6af35,3545eb93-e19a-4b1f-b3f2-03b79b30b200,18022026-151638,,
470,leidt_tot,,Association,nan,{71D7E96D-641A-4b6a-A325-DED07C3B5836},leidt_tot,nan,nan,association-relationship,1c453f21-741c-41e9-a1b2-548d39326b6a,3545eb93-e19a-4b1f-b3f2-03b79b30b200,c481e8b8-f7d7-4979-b767-ebf2a9b04712,18022026-151638,,
471,heeft,,Association,nan,{DAF09055-A5A6-4ff4-A158-21B20567B296},heeft,nan,nan,association-relationship,20b8dfdd-dc3a-4e2c-aae4-8802ddb078e4,3545eb93-e19a-4b1f-b3f2-03b79b30b200,2a859087-fe7f-412a-b057-bf1e3f249a4c,18022026-151638,,
472,heeft,,Association,nan,{9F4E12E4-B228-4931-AC83-1B1F60958A89},heeft,nan,nan,association-relationship,56d90813-2964-425d-90e5-3578eb6a3d3a,a0f96391-4935-4c7a-be2b-2fa1b00da57f,cd27cd50-1721-4870-a292-ea0f24d1ada4,18022026-151638,,
473,ligt op,,Association,,{CFA3D54E-C8E0-4559-9475-29D31AF2DECD},,,,,,,,18022026-151638,,
474,ligt op,,Association,,{CFA3D54E-C8E0-4559-9475-29D31AF2DECD},,,,,,,,18022026-151638,,
475,heeft,,Association,nan,{D1889096-CC76-48a8-A9DF-8151FFF1E0AC},heeft,nan,nan,association-relationship,e555b10f-2e83-4d6d-8b98-9e901e482394,ca9df4ee-92e1-4c24-ace3-467d146a320e,0f53081c-01f9-4c0a-b049-77d310a0ea33,18022026-151638,,
476,gebruikt,,Association,nan,{BE5E10D0-FD83-4b0a-B5D2-4A7EE6B9C53B},gebruikt,nan,nan,association-relationship,28414585-0f94-4ef4-abca-744b848bf69d,59d3efaa-a05f-477a-a271-49bac323939f,a7a350a2-a9aa-4437-b67b-016fec0d048d,18022026-151638,,
477,oefent uit,,Association,nan,{567576EB-3CE1-43dd-8BD4-58310C3DA04B},oefent uit,nan,nan,association-relationship,39bb8296-9423-482e-9fe9-e342bef3d589,59d3efaa-a05f-477a-a271-49bac323939f,d20f1f99-a50d-4b75-9e9e-072e84b10270,18022026-151638,,
478,bedient,,Association,nan,{2F759BC4-7E3C-4ce9-94FF-33A4106A6E5A},bedient,nan,nan,association-relationship,0cc06f8c-4d9f-469a-adb7-c35c0e0aa28f,cda4149f-f0a0-44d9-b893-25bcce04d20d,fd33a9fa-9c73-43a1-8e22-8cff15dc84d9,18022026-151638,,
479,is gevestigd in,,Association,nan,{A33151CE-37B2-4026-B0AF-B541687B5B7C},is gevestigd in,nan,nan,association-relationship,902f9482-f753-4c19-b57f-975374b3e3c7,cda4149f-f0a0-44d9-b893-25bcce04d20d,67a1d348-4663-4a34-8b6a-06b3ea888a9d,18022026-151638,,
