nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-guid,GEMMA-type,datum-tijd-export,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-url,GEMMA-alternate-name,GGM-toelichting
14,Aanbesteding Vastgoed,Een procedure waarbij een opdrachtgever bekendmaakt dat hij een opdracht of concessie wil laten uitvoeren en bedrijven uitnodigt om een offerte in te dienen. Dit in het kader van werkzaamheden rondom vastgoed.,Class,,{17FCEF39-AB9D-4516-9C60-1DDA61D87356},,Vastgoed,,,id-17fcef39-ab9d-4516-9c60-1dda61d87356,Data object,21022024-11:03:02,,,,,,,,
15,Adresaanduiding,De adresaanduiding van het WOZ-OBJECT,Class,,{909E635B-E33D-4ded-8471-900CD175B7D1},,Vastgoed,,,id-909e635b-e33d-4ded-8471-900cd175b7d1,Data object,21022024-11:03:02,,,,,,,,
16,Bouwdeel,"Zelfstandig en aanwijsbaar deel van een element, onderscheiden naar samenstelling of constructiewijze, bestaande uit één of meer componenten waaraan technische eigenschappen en een onderhoudshistorie kunnen worden gerelateerd (bron: Conditiemeting gebouwde omgeving - Deel 1: Methodiek, code: 3.3)",Class,,{9A739672-6084-4c05-A13E-59DB13551E58},,Vastgoed,,,id-9a739672-6084-4c05-a13e-59db13551e58,Data object,21022024-11:03:02,,,,,,,,
17,Bouwdeelelement,Onderdeeel van een bouwdeel,Class,,{BE147761-326E-4859-9366-5157CE865EC1},,Vastgoed,,,id-be147761-326e-4859-9366-5157ce865ec1,Data object,21022024-11:03:02,,,,,,,,
18,CultuurOnbebouwd,Een aanduiding voor de soort cultuur van het onbebouwde gedeelte van de onroerende zaak.,Class,,{01C1622D-23E7-4a63-9B63-F45CA63E76CA},,Vastgoed,,,id-01c1622d-23e7-4a63-9b63-f45ca63e76ca,Business object,21022024-11:03:02,,,,,,,,
19,Eigenaar,Eigenaar is een persoon die de eigenaar is van een gebouw of stuk grond en ook alle rechten daarvan bezit.,Class,,{5E06339C-13EE-44ca-BC40-0FC4B9DC8349},,Vastgoed,,,id-5e06339c-13ee-44ca-bc40-0fc4b9dc8349,Business object,21022024-11:03:02,,,,,,,,
20,Gebruiksdoel,Een aanduiding va alle waarden waarmee het gebruiksdoel van een object kan worden verbijzonderd.,Class,,{A5975EF7-558A-44fa-A656-AB43580D8C35},,Vastgoed,,,id-a5975ef7-558a-44fa-a656-ab43580d8c35,Business object,21022024-11:03:02,,,,,,,,
21,Huurder,Een partij die een zaak of een gedeelte daarvan in gebruik verstrekt heeft gekregen en zich heeft verbonden tot een tegenprestatie.,Class,,{B75EE7EF-DC1F-47da-A95C-B9662075684D},,Vastgoed,,,id-b75ee7ef-dc1f-47da-a95c-b9662075684d,Business object,21022024-11:03:02,,,,,,,,
22,Inspectie,"het inwinnen, verwerken en interpreteren van informatie met het doel om de momentane toestand van de boezemkade vast te stellen.",Class,,{A31C3B5D-EAC5-482d-8816-8B858EC4BE01},,Vastgoed,,,id-a31c3b5d-eac5-482d-8816-8b858ec4be01,Data object,21022024-11:03:02,,,,,,,,
23,kp_betrokken_bij,,Class,,{D46DA88A-F3EB-4c72-85DA-C0C4239289E2},,Vastgoed,,,id-d46da88a-f3eb-4c72-85da-c0c4239289e2,Data object,21022024-11:03:02,,,,,,,,
