,naam,definitie,uml-type,ggm-guid,ggm-source-guid,ggm-target-guid,toelichting,archimate-type,gemma-guid,gemma-source-guid,gemma-target-guid,datum-tijd-export
442,heeft,,Association,{BC9B933D-E53D-4637-A451-AB7BC45BC048},{266057AF-58BD-42e1-B4D5-16EB266B9B7A},{252C70B1-4E02-4033-B2B5-86F65496D7AB},,,,,,25102023-07:53:00
443,betreft leerling,,Association,{DBBD5265-268F-46ea-A748-3BECEA8A9A4A},{266057AF-58BD-42e1-B4D5-16EB266B9B7A},{697F1730-B439-4b35-8799-1B2E9AB04548},,,,,,25102023-07:53:00
444,opgelegd door,,Association,{394820AC-FA0B-45c2-8E87-64DADE538231},{B369B374-F560-4ea6-9A8B-DBBCB4961EFF},{697F1730-B439-4b35-8799-1B2E9AB04548},,,,,,25102023-07:53:00
445,,,Generalization,{ACD49FC1-B6A0-4cc3-896E-285018F4F415},{266057AF-58BD-42e1-B4D5-16EB266B9B7A},{AF9534B0-7CBD-4061-9276-A7B6698B383A},,,,,,25102023-07:53:00
446,,,Generalization,{2FA19730-1203-4c67-9D5D-C88542BBE20E},{DAF09055-A5A6-4ff4-A158-21B20567B296},{AF9534B0-7CBD-4061-9276-A7B6698B383A},,,,,,25102023-07:53:00
447,is specialisatie van,,Generalization,{6774413F-EE68-46d3-9C8D-D3DEFD6FB28A},{CA19D17F-3EB7-459d-9883-16F0C0B5D35E},{AF9534B0-7CBD-4061-9276-A7B6698B383A},,,,,,25102023-07:53:00
448,Ouder 1,,Association,{367BFE15-E9E7-47f9-B5A2-92BFDDCF00FA},{AF9534B0-7CBD-4061-9276-A7B6698B383A},{AF9534B0-7CBD-4061-9276-A7B6698B383A},,,,,,25102023-07:53:00
449,Ouder 2,,Association,{2CA328BA-49A9-4cc3-9193-8C8C8DE722A0},{AF9534B0-7CBD-4061-9276-A7B6698B383A},{AF9534B0-7CBD-4061-9276-A7B6698B383A},,,,,,25102023-07:53:00
450,heeft,,Association,{9A375AE5-3CB2-4803-A247-061E39A8D5DE},{6FB0A5B7-7B5F-437f-A462-4B1EADB964E4},{AF9534B0-7CBD-4061-9276-A7B6698B383A},,,,,,25102023-07:53:00
451,verwijst naar,,Association,{089A106A-9828-4e05-BBA1-449F742BD9AD},{44F0CC4A-59AF-44a8-AF0B-FF204C93E829},{AF9534B0-7CBD-4061-9276-A7B6698B383A},,,,,,25102023-07:53:00
