,naam,definitie,archimate-type,uml-type,gemma-guid,ggm-guid,bron,toelichting,toelichting,synoniemen,domein-iv3,domein-dcat,domein-gemma,datum-tijd-export
22,Inspectie,"het inwinnen, verwerken en interpreteren van informatie met het doel om de momentane toestand van de boezemkade vast te stellen.",Data object,Class,id-a31c3b5d-eac5-482d-8816-8b858ec4be01,{A31C3B5D-EAC5-482d-8816-8B858EC4BE01},,,,,,,,25102023-07:53:00
23,kp_betrokken_bij,,Data object,Class,id-d46da88a-f3eb-4c72-85da-c0c4239289e2,{D46DA88A-F3EB-4c72-85DA-C0C4239289E2},,,,,,,,25102023-07:53:00
24,kp_onstaan_uit,,Data object,Class,id-dcf0623a-694f-4b82-b615-f499f169c19a,{DCF0623A-694F-4b82-B615-F499F169C19A},,,,,,,,25102023-07:53:00
25,LOCATIEAANDUIDING WOZ OBJECT,Nadere aanduiding van het WOZ-object,Business object,Class,id-0b3f8a89-f21e-4bea-9620-8d6713ab632c,{0B3F8A89-F21E-4bea-9620-8D6713AB632C},,,,,,,,25102023-07:53:00
26,LocatieOnroerendeZaak ,Locatie van een geregistreerd goed,Data object,Class,id-049e7fd0-d515-4057-9c87-a09980c5de6a,{049E7FD0-D515-4057-9C87-A09980C5DE6A},,,,,,,,25102023-07:53:00
27,MJOP,Meerjaren Onderhoudsplanning,Business object,Class,id-a110896b-0cad-46cf-9226-840dee3328f0,{A110896B-0CAD-46cf-9226-840DEE3328F0},,,,,,,,25102023-07:53:00
28,MJOP-Item,Onderdeel van een MJOP,Data object,Class,id-54697170-4c4d-40f6-9e08-35df1970b8c6,{54697170-4C4D-40f6-9E08-35DF1970B8C6},,,,,,,,25102023-07:53:00
29,NAD_AanvullingBRP,,Data object,Class,id-46386087-923f-402e-bb6b-6de39d73349a,{46386087-923F-402e-BB6B-6DE39D73349A},,,,,,,,25102023-07:53:00
30,Objectrelatie,Relatie tot een object,Data object,Class,id-3ea09322-144a-407d-86c4-fcc8c041c826,{3EA09322-144A-407d-86C4-FCC8C041C826},,,,,,,,25102023-07:53:00
31,Offerte,"Aanbod, aanbieding of voorstel van goederen of diensten waarin opgave is gedaan van de prijs. ",Data object,Class,id-ef55544a-f59b-4411-a3d2-9c1a2ba2663c,{EF55544A-F59B-4411-A3D2-9C1A2BA2663C},,,,,,,,25102023-07:53:00
32,Pachter,Een persoon die een pachtovereenkomst heeft met de eigenaar van een perceel voor het gebruik als landbouwgrond.,Business object,Class,id-edc8b01f-4802-4562-bc41-c2cad76880b6,{EDC8B01F-4802-4562-BC41-C2CAD76880B6},,,,,,,,25102023-07:53:00
33,Prijzenboekitem,Onderdeel van een prijzenboek,Data object,Class,id-697512e4-0c8e-4be8-8e95-9e2e4bd50f85,{697512E4-0C8E-4be8-8E95-9E2E4BD50F85},,,,,,,,25102023-07:53:00
34,Vastgoed Contract,,Data object,Class,id-1c84e4b6-1bb5-4a0d-a945-fffdfdfb544b,{1C84E4B6-1BB5-4a0d-A945-FFFDFDFB544B},,,,,,,,25102023-07:53:00
35,Vastgoedcontractregel,ONderdeel van een vastgoedcontract,Data object,Class,id-1c25d70b-ae22-4654-9190-2f55272d9be6,{1C25D70B-AE22-4654-9190-2F55272D9BE6},,,,,,,,25102023-07:53:00
36,Vastgoedobject,"Perceel of vastgoed waar de gemeente een zakelijk recht heeft, en optioneel verhuurd, verpacht of anderzinds aan een derde partij.",Business object,Class,id-28a6f2ac-5ab1-4f25-8876-931152ca28e0,{28A6F2AC-5AB1-4f25-8876-931152CA28E0},,,,,,,,25102023-07:53:00
37,Verhuurbaar Eenheid,Een Verhuurbare Eenheid (VHE) is een eenheid die individueel verhuurbaar is. Verhuurbaar komt voort uit 'exploitatie',Business object,Class,id-98a7ae65-a061-449a-94cd-6218069ca86a,{98A7AE65-A061-449a-94CD-6218069CA86A},,,,,,,,25102023-07:53:00
38,Werkbon,Document waarin een heoveelheid werk is beschreven,Business object,Class,id-c5aa8835-219d-4bfa-85ef-8ba45f732bcd,{C5AA8835-219D-4bfa-85EF-8BA45F732BCD},,,,,,,,25102023-07:53:00
39,WOZ-Belang,,Data object,Class,id-e71dc5ec-eeeb-4d27-a3c1-b46fd34ad41b,{E71DC5EC-EEEB-4d27-A3C1-B46FD34AD41B},,,,,,,,25102023-07:53:00
40,Zakelijk Recht,"Geeft een recht op een goed, zoals een onroerende zaak of een roerende zaak. ",Business object,Class,id-8d52e9f1-9cc9-42c6-a347-e68e29718e55,{8D52E9F1-9CC9-42c6-A347-E68E29718E55},,,,,,,,25102023-07:53:00
41,Energielabel Gebouwen,"<font color=""#1a1a1a""><b>Gebouwen (geen woningen in particulier bezit)</b></font><font color=""#42474b"">[</font><a href=""https://nl.wikipedia.org/w/index.php?title=Energielabel&amp;action=edit&amp;section=11""><font color=""#092f9d""><u>bewerken</u></font></a><font color=""#42474b"">]</font>
<font color=""#1a1a1a"">In 2002 heeft het Europese Parlement de EPBD-richtlijn aangenomen. Deze richtlijn is gericht op het terugdringen van het energiegebruik van </font><a href=""https://nl.wikipedia.org/wiki/Gebouw""><font color=""#092f9d""><u>gebouwen</u></font></a><font color=""#1a1a1a"">, met het oog op vermindering van de uitstoot van o.a. CO<sub>2</sub> en om de afhankelijkheid van fossiele brandstoffen te verkleinen. Op basis van deze Europese richtlijn is het in Nederland sinds 1 januari 2008 verplicht gesteld dat bij iedere transactie van utiliteitsgebouw ouder dan 10 jaar een energielabel aan de nieuwe gebruiker overhandigd moet worden. Sinds 2010 zijn de regels voor toekenning sterk versimpeld: ""Er wordt geschat hoeveel </font><a href=""https://nl.wikipedia.org/wiki/Giga""><font color=""#092f9d""><u>giga</u></font></a><a href=""https://nl.wikipedia.org/wiki/Joule""><font color=""#092f9d""><u>joule</u></font></a><font color=""#1a1a1a""> energie de woning elk jaar per vierkante meter gebruikt voor verwarming, warm water en verlichting"". Hiervan wordt afgetrokken de geschatte warmteterugwinning uit rioolwater en ventilatie, en de geschatte energieproductie via zonnecollectoren (zowel elektrisch als warm water). Er wordt uitgegaan van gemiddelde bewoning, gemiddeld buitenklimaat en gemiddeld stookgedrag.</font>
<font color=""#1a1a1a"">
</font><font color=""#1a1a1a"">Bron Wikipedia</font>",Data object,Enumeration,id-808592b6-401f-48c7-bd2a-2a3d77e846a4,{808592B6-401F-48c7-BD2A-2A3D77E846A4},,,,,,,,25102023-07:53:00
42,Monumenttypering,,Data object,Enumeration,id-764193b9-f588-46a2-a230-4b9d29b8cf44,{764193B9-F588-46a2-A230-4B9D29B8CF44},,,,,,,,25102023-07:53:00
43,NEN2767 Conditiescore,"<font color=""#262626"">NEN 2767 zorgt voor het uniform inspecteren en in kaart brengen van de technische staat van alle bouw- en installatie delen m.b.t. gebouwen en/of infrastructuur. Door middel van conditiescores maakt u gemakkelijk vergelijkingen tussen de verschillende onderhoudstoestanden van objecten. Zo heeft u met de resultaten inzicht in onderhoudskosten en mogelijke risico’s en zo kunt u meerjarige onderhoudsplanningen opstellen. Kortom, met deze norm kunt u de kwaliteit waarborgen.</font>",Data object,Enumeration,id-81ca4474-4d1e-485d-94f9-1243fa00b1fe,{81CA4474-4D1E-485d-94F9-1243FA00B1FE},,,,,,,,25102023-07:53:00
44,Objectrelatierol,,Data object,Enumeration,id-0d0c34bc-d054-45b0-bdb6-3f32f65e51cb,{0D0C34BC-D054-45b0-BDB6-3F32F65E51CB},,,,,,,,25102023-07:53:00
45,TypeAdresseerbaarObject,,Data object,Enumeration,id-3dd4320f-ca3a-40c9-bb16-40064717ec8b,{3DD4320F-CA3A-40c9-BB16-40064717EC8B},,,,,,,,25102023-07:53:00
46,Zakelijkrecht,,Data object,Enumeration,id-0b6706e7-4cf8-42d8-90ea-bdd1f5588d3f,{0B6706E7-4CF8-42d8-90EA-BDD1F5588D3F},,,,,,,,25102023-07:53:00
47,Bedrijf,,,Class,,{1D4A982F-DA6E-408a-A0C9-60F3D5FE2008},,,,,,,,25102023-07:53:00
48,Activa,Bezittingen van een onderneming op een boekhoudkundige balans,Business object,Class,id-7b8d0a8f-07bf-42bf-90b3-28a72bd4401a,{7B8D0A8F-07BF-42bf-90B3-28A72BD4401A},,,,,,,,25102023-07:53:00
49,Activasoort,Typering van activa,Data object,Class,id-2483bd14-7fa7-4514-a565-c7f7967e226d,{2483BD14-7FA7-4514-A565-C7F7967E226D},,,,,,,,25102023-07:53:00
50,Bankafschrift,Overzicht van de bij- en afschrijvingen van een rekening,Data object,Class,id-fc698cc3-7a64-4991-a751-b3b2a5df77e3,{FC698CC3-7A64-4991-A751-B3B2A5DF77E3},,,,,,,,25102023-07:53:00
51,Bankafschriftregel,Een item op het bankafschrift,Data object,Class,id-764ce125-55c1-480d-90ba-745484cf3fc0,{764CE125-55C1-480d-90BA-745484CF3FC0},,,,,,,,25102023-07:53:00
52,Bankrekening,Een rekening-courant bij een bank,Business object,Class,id-d87012e0-d2eb-4333-ad6c-1e43e6857304,{D87012E0-D2EB-4333-AD6C-1E43E6857304},,,,,,,,25102023-07:53:00
53,Batch,Verzameling van posten die in het kader van automatische verwerking een logisch geheel vormen. ,Business object,Class,id-a784a0ed-4451-4a92-b7c8-abe528ba898f,{A784A0ED-4451-4a92-B7C8-ABE528BA898F},,,Bijvoorbeeld alle betalingen die op een dag ter verwerking in de computers aangeboden worden.,,,,,25102023-07:53:00
54,Batchregel,Een item uit een batch,Business object,Class,id-9f935c8b-5b7c-4ce4-9360-04a91f4f70cc,{9F935C8B-5B7C-4ce4-9360-04A91F4F70CC},,,,,,,,25102023-07:53:00
55,Begroting,Een overzicht van de verwachte ontvangsten en voorziene uitgaven voor een bepaalde (meestal toekomstige) periode zodat hier een afstemming tussen plaats kan vinden om eventuele tekorten en overschotten vroegtijdig in kaart te kunnen brengen. ,Business object,Class,id-c95cf400-8487-4ff3-b475-ca1e01ebca78,{C95CF400-8487-4ff3-B475-CA1E01EBCA78},,,,,,,,25102023-07:53:00
56,Begrotingregel,Een item op de begroting,Business object,Class,id-87964e36-9fee-4b8f-a053-c4edaf000646,{87964E36-9FEE-4b8f-A053-C4EDAF000646},,,Een begrotingsregel betreft #. een combinatie van hoofdstuk met optioneel doelstelling met optioneel product of #. een kostenplaats met 1 of meer hoofdrekeningen,,,,,25102023-07:53:00
57,Debiteur,Iemand aan wie een dienst of product geleverd is waardoor recht op een vergoeding is ontstaan,Business object,Class,id-e74d0d46-66eb-4deb-a540-7ab08e95f956,{E74D0D46-66EB-4deb-A540-7AB08E95F956},,,,Schuldenaar,,,,25102023-07:53:00
58,Doelstelling,Een op korte of middellange termijn nagestreefde situatie,Data object,Class,id-2ffe3bad-cb0e-43ea-a435-fd693b9255c3,{2FFE3BAD-CB0E-43ea-A435-FD693B9255C3},,,,,,,,25102023-07:53:00
59,Factuur,Schriftelijke rekening of nota voor de geleverde zaken of verrichte diensten.,Business object,Class,id-e1da56c3-6eca-4ec9-8cf4-fc57e1c43102,{E1DA56C3-6ECA-4ec9-8CF4-FC57E1C43102},,,,,,,,25102023-07:53:00
60,Factuurregel,Een item op de factuur,Data object,Class,id-65e960ea-cc92-4af1-af2b-b4625fa6aea0,{65E960EA-CC92-4af1-AF2B-B4625FA6AEA0},,,,,,,,25102023-07:53:00
61,Hoofdrekening,is kostensoort,Business object,Class,id-0eeaf579-3f47-4551-b9f9-7367280eb3eb,{0EEAF579-3F47-4551-B9F9-7367280EB3EB},,,,,,,,25102023-07:53:00
62,Hoofdstuk,Onderdeel van een langere tekst.,Business object,Class,id-ffaa30d3-91c2-44aa-b52d-b21c51db0326,{FFAA30D3-91C2-44aa-B52D-B21C51DB0326},,,,,,,,25102023-07:53:00
63,Inkooporder,Een opdracht (gezien vanuit de klant) voor √©√©n of meer leveringen door de leverancier aan die klant van een bepaalde hoeveelheid gespecificeerde goederen en/of diensten onder overeengekomen leveringsvoorwaarden en prijzen.,Business object,Class,id-a91e9c27-c4fa-4e1b-a4ff-8ae74ed9b7eb,{A91E9C27-C4FA-4e1b-A4FF-8AE74ED9B7EB},,,,,,,,25102023-07:53:00
64,Kostenplaats,Rekening waaraan boekingen in een financi√´le administratie samen worden toegeschreven.,Business object,Class,id-d90e822d-7ef8-4ea6-af5c-4a4362577941,{D90E822D-7EF8-4ea6-AF5C-4A4362577941},,,,,,,,25102023-07:53:00
65,Mutatie,Wijziging van een situatie,Business object,Class,id-cb0a6b53-d263-459e-8c28-ad97e5552fff,{CB0A6B53-D263-459e-8C28-AD97E5552FFF},,,"Dit kan naast getoonde mutaties nog diverse andere soorten mutaties betreffen, die handmatig worden ingevoerd, of via batches of facturen lopen: * Verkoop tot ontvangst * Inkoop tot betaling * BTW-compensatie * Vaste activa * Urenadministratie uit TIM",,,,,25102023-07:53:00
66,Opdrachtgever,Persoon die een opdracht verstrekt. ,Business object,Class,id-c2520fc3-622b-4edf-b911-c661b0d710fe,{C2520FC3-622B-4edf-B911-C661B0D710FE},,,,,,,,25102023-07:53:00
67,Opdrachtnemer,Partij die een opdracht aanvaardt. ,Business object,Class,id-9abe303f-1e8d-407c-bbb8-e7dac383e0c3,{9ABE303F-1E8D-407c-BBB8-E7DAC383E0C3},,,,,,,,25102023-07:53:00
68,Product,Het resultaat van een proces dat in het economisch verkeer een waarde bezit.,Data object,Class,id-04439f81-75db-45cf-be7a-352a54a95d73,{04439F81-75DB-45cf-BE7A-352A54A95D73},,,,,,,,25102023-07:53:00
69,Subrekening,Ondergeschikte rekening van een hoofdrekening,Data object,Class,id-1ec60172-cb6b-40c9-9818-c7a708c8540e,{1EC60172-CB6B-40c9-9818-C7A708C8540E},,,,,,,,25102023-07:53:00
70,Taakveld,Een samenhangend geheel van activiteiten en taken en hangt onder een programma.,Data object,Class,id-e81c0fa0-2203-489a-98e9-32f1cb200e75,{E81C0FA0-2203-489a-98E9-32F1CB200E75},,,Een taakveld kan verbonden zijn aan een strategische opgave. Dat betekent dat het budget voor de activiteiten die nodig zijn om de opgave uit te voeren daar te vinden zijn.,,,,,25102023-07:53:00
71,Werkorder,Opdracht voor de uitvoering van een activiteit of een stap in een proces.,Business object,Class,id-4af7fa48-dfb0-474f-b797-a13d5fd37530,{4AF7FA48-DFB0-474f-B797-A13D5FD37530},,,,,,,,25102023-07:53:00
72,Anciennteit,,,Class,,{719D0E34-8AAF-443e-88D7-D52628955B97},,,,,,,,25102023-07:53:00
73,Fomatieplaats,,,Class,,{71C1D65D-651E-44b7-9A07-0C5AA24F3999},,,,,,,,25102023-07:53:00
74,Formatieplaats,,,Class,,{13CBEB91-6AC7-4aa0-A3B9-6A60D427FB94},,,,,,,,25102023-07:53:00
75,Normprofiel,Normprofiel,,Class,,{972D5AD1-E86D-4f10-877F-CA55C24247BE},,,,,,,,25102023-07:53:00
76,OrgModelEenheid,,,Class,,{40377CF8-3EC4-4123-9F4F-9F8195456FDA},,,,,,,,25102023-07:53:00
77,Schaal,,,Class,,{F6ABB6C0-3DCF-431c-8340-83291E25329E},,,,,,,,25102023-07:53:00
78,Aanstelling,De rechtsbetrekking tussen werkgever en werknemer zoals vastgelegd in een arbeidsovereenkomst.,Business object,Class,id-f95e3068-5faa-47a4-995f-5b9adf2fa2c7,{F95E3068-5FAA-47a4-995F-5B9ADF2FA2C7},,,,Dienstverband,,,,25102023-07:53:00
79,Beoordeling,Beoordeling is het oordeel van de professional over het functioneren van een leerling,Business object,Class,id-2a0cc803-9017-4fad-99b5-9347623090f5,{2A0CC803-9017-4fad-99B5-9347623090F5},,,,,,,,25102023-07:53:00
80,Declaratie,Een opgave van te vergoeden kosten.,Data object,Class,id-e611ceb2-f4fa-49e2-aa6b-b380bc1918ac,{E611CEB2-F4FA-49e2-AA6B-B380BC1918AC},,,,,,,,25102023-07:53:00
81,Declaratiesoort,Typering van een declaratie,Data object,Class,id-9d4fb9df-d68a-4503-96c0-272b6777a4fc,{9D4FB9DF-D68A-4503-96C0-272B6777A4FC},,,,,,,,25102023-07:53:00
82,Dienstverband,De rechtsbetrekking tussen werkgever en werknemer zoals vastgelegd in een arbeidsovereenkomst.,Business object,Class,id-63ff86e2-1bb0-48f6-8d95-3d82e8d2fa06,{63FF86E2-1BB0-48f6-8D95-3D82E8D2FA06},,,,,,,,25102023-07:53:00
83,Disciplinaire Maatregel,"Een besluit dat wordt opgelegd wanneer een persoon zijn verplichtingen niet of niet op de juiste wijze nakomt, of zich op andere wijze misdraagt.",Business object,Class,id-50f3f931-38f4-4ff0-8ce4-8a51056767e0,{50F3F931-38F4-4ff0-8CE4-8A51056767E0},,,,,,,,25102023-07:53:00
84,Functiehuis,Model waarin functies van een organisatie worden beschreven.,Business object,Class,id-d69ee16a-390c-4d6f-bc01-2b13fb3b22f1,{D69EE16A-390C-4d6f-BC01-2B13FB3B22F1},,,,,,,,25102023-07:53:00
85,Genoten Opleiding,"Afgeronde opleiding, een samenhangend geheel van vakken, gericht op de verwezenlijking van welomschreven doelstellingen op het gebied van kennis, inzicht en vaardigheden",Data object,Class,id-261363c5-1e00-4b6a-b570-2129dc044010,{261363C5-1E00-4b6a-B570-2129DC044010},,,,,,,,25102023-07:53:00
86,Geweldsincident,"Een gebeurtenis met betrekking tot agressie en omvat het veroorzaken van verwondingen of schade bij mensen, dieren, of voorwerpen. ",Business object,Class,id-41aff74f-adbe-4f3f-ab2f-25027a70e573,{41AFF74F-ADBE-4f3f-AB2F-25027A70E573},,,,,,,,25102023-07:53:00
87,Individueel Keuzebudget,Bedrag dat feitelijk beschikbaar gesteld wordt voor een individu om een bepaalde keus te kunnen maken,Business object,Class,id-b64178f1-7d37-4a77-bef7-97e8c9dda4e8,{B64178F1-7D37-4a77-BEF7-97E8C9DDA4E8},,,,,,,,25102023-07:53:00
88,Keuzebudgetbesteding ,De daadwerkelijk uitgave van een keuzebudget,Data object,Class,id-b9288d01-0b8f-4f8c-bae1-afd1b0ef6fdf,{B9288D01-0B8F-4f8c-BAE1-AFD1B0EF6FDF},,,,,,,,25102023-07:53:00
89,Keuzebudgetbestedingsoort,Typering van een keuzebudgetbesteding,Data object,Class,id-a0051651-4772-436d-9553-b432bdce3a52,{A0051651-4772-436d-9553-B432BDCE3A52},,,,,,,,25102023-07:53:00
90,Onderwijsinstituut,Een instituut waar onderwijs wordt gegeven.,Business object,Class,id-59f3063a-13a6-4cbc-a387-045a6b126746,{59F3063A-13A6-4cbc-A387-045A6B126746},,,,Onderwijsinstelling,,,,25102023-07:53:00
91,Opleiding,"Een samenhangend geheel van vakken, gericht op de verwezenlijking van welomschreven doelstellingen op het gebied van kennis, inzicht en vaardigheden.",Business object,Class,id-e07d60de-cd26-4cef-a18b-6f72cc76c1b6,{E07D60DE-CD26-4cef-A18B-6F72CC76C1B6},,,,,,,,25102023-07:53:00
92,Relatie,"Betrekking waarin personen, zaken, begrippen of grootheden van nature tot elkaar staan.",Data object,Class,id-fe559b58-a6cd-4108-82be-98e1aebfd9bd,{FE559B58-A6CD-4108-82BE-98E1AEBFD9BD},,,,,,,,25102023-07:53:00
93,Sollicitant,Persoon die werk zoekt,Business object,Class,id-131bdd67-2a31-43c5-9125-f12de2d98d2d,{131BDD67-2A31-43c5-9125-F12DE2D98D2D},,,,,,,,25102023-07:53:00
94,Sollicitatie,Verzoek om in een functie te worden aangesteld.,Business object,Class,id-3bd1368c-23f1-4f42-99db-c81581a646a0,{3BD1368C-23F1-4f42-99DB-C81581A646A0},,,,,,,,25102023-07:53:00
95,Sollicitatiegesprek,Onderhoud tussen sollicitant en werkgever met betrekking tot een sollicatie,Business object,Class,id-1d4da0e6-da20-4ff7-a415-b937712c6f6d,{1D4DA0E6-DA20-4ff7-A415-B937712C6F6D},,,,,,,,25102023-07:53:00
96,Soort Disciplinaire Maatregel,Typering van een disciplinaire maatregel,Data object,Class,id-b0747dfc-dfc8-4ef2-8e1e-c2e8606036fc,{B0747DFC-DFC8-4ef2-8E1E-C2E8606036FC},,,,,,,,25102023-07:53:00
97,Uren,Aantal besteedde uren aan een activiteit,Data object,Class,id-93165dec-ecb7-4225-9484-e1727524a1b5,{93165DEC-ECB7-4225-9484-E1727524A1B5},,,,,,,,25102023-07:53:00
98,Vacature,Een arbeidsplaats binnen een bedrijf of organisatie die nog gevuld dient te worden door werkzoekenden.,Business object,Class,id-dc978807-5f36-4148-b816-d6886d026dd8,{DC978807-5F36-4148-B816-D6886D026DD8},,,,,,,,25102023-07:53:00
99,Verlof,"Een periode waarin iemand toestemming heeft om iets te doen, in het bijzonder om afwezig te zijn.",Business object,Class,id-d04135bf-c2f0-46dd-b332-f1be36c358ef,{D04135BF-C2F0-46dd-B332-F1BE36C358EF},,,,,,,,25102023-07:53:00
