nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-URL,GEMMA-alternate-name,GEMMA-guid,GEMMA-guid,GEMMA-type,GEMMA-type,datum-tijd-export,GGM-toelichting
10,Stemming,"Stem (openbaring van iemands mening (voor of tegen)),  uitbrengen bij verkiezingen of bij een vergadering",Class,,{331C4A0B-1505-4945-A0B0-DCD8703AB50F},,Griffie,,,Stemming,"Stem (openbaring van iemands mening (voor of tegen)),  uitbrengen bij verkiezingen of bij een vergadering",,,,https://gemmaonline.nl/index.php/GEMMA/id-857327b0-3ab3-4578-869d-7b390aa1e3d3,,857327b0-3ab3-4578-869d-7b390aa1e3d3,,business-object,,04062025-090332,
11,Taakveld,Een samenhangend geheel van activiteiten en taken en hangt onder een programma.,Class,,{01E83CEC-D69D-47eb-9BAB-252AABADDD18},,Griffie,,,,,,,,,,,,,,04062025-090332,
12,Vergadering,Een bijeenkomst van meerdere mensen (meestal van eenzelfde organisatie) die met elkaar spreken en/of afspraken maken over de gemeenschappelijke toekomst.,Class,,{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},,Griffie,,,Vergadering,Een bijeenkomst van meerdere mensen (meestal van eenzelfde organisatie) die met elkaar spreken en/of afspraken maken over de gemeenschappelijke toekomst.,,,,https://gemmaonline.nl/index.php/GEMMA/id-ea768404-3043-48bc-b0dc-143abc8806d6,,ea768404-3043-48bc-b0dc-143abc8806d6,,business-object,,04062025-090332,
13,Activiteit,"Ieder menselijk handelen waarbij, of ieder menselijk nalaten waardoor een verandering of effect in de (fysieke) leefomgeving wordt of kan worden bewerkstelligd. ",Class,,{9547BC67-7488-4d9a-B651-2B69A62D789F},,,,,,,,,,,,,,,,04062025-090332,
14,AOMStatus,,Class,,{FDEB42B6-5D93-46bf-9B5C-10F42BA4AC26},,,,,,,,,,,,,,,,04062025-090332,
15,Bevinding,"Een waarneming of conclusie die voortkomt uit een inspectie, controle of onderzoek uitgevoerd door de gemeente.",Class,,{ED0D0224-0A30-435b-AB25-87FDA8DF4078},,,,,,,,,,,,,,,,04062025-090332,
16,BOA,Een buitengewoon opsporingsambtenaar (boa) is een ambtenaar met een specifieke opsporingsbevoegdheid.,Class,,{90B2A249-8D88-4a14-979F-672223D98E8C},,,,,BOA,Een buitengewoon opsporingsambtenaar (boa) is een ambtenaar met een specifieke opsporingsbevoegdheid.,,,,https://gemmaonline.nl/index.php/GEMMA/id-7aae6aa2-cf47-491b-a0c0-a311729edcbf,,7aae6aa2-cf47-491b-a0c0-a311729edcbf,,business-object,,04062025-090332,
17,Combibon,Arjen deze  is voor jou,Class,,{43D57BB8-C2E4-4b5a-A41C-C5CEC9D3877D},,,,,,,,,,,,,,,,04062025-090332,
18,Fietsregistratie,Adminstreren van fietsen,Class,,{FF9A4A36-6674-4590-BC33-7B6DC5256490},,,,,,,,,,,,,,,,04062025-090332,
19,Grondslag,"De juridische of beleidsmatige basis waarop gemeentelijke besluiten, regels of handelingen zijn gebaseerd.",Class,,{94E2B19A-6942-4164-8A52-3C0BBDE45808},,,,,,,,,,,,,,,,04062025-090332,
20,Heffinggrondslag,"De maatstaf waarop een belasting is gebaseerd, het bedrag op basis waarvan een bepaalde belasting wordt geheven of de premie voor sociale zekerheid wordt vastgesteld.",Class,,{3D2D5426-653C-485c-A99C-8AD933E76D78},,,,,Heffinggrondslag,"De maatstaf waarop een belasting is gebaseerd, het bedrag op basis waarvan een bepaalde belasting wordt geheven of de premie voor sociale zekerheid wordt vastgesteld.",,,,https://gemmaonline.nl/index.php/GEMMA/id-654000c4-9d8b-4453-b3e8-4f77fb1b15a2,,654000c4-9d8b-4453-b3e8-4f77fb1b15a2,,business-object,,04062025-090332,
21,Heffingsverordening,"Een vastgestelde regeling waarin de grondslagen, tarieven en voorwaarden voor belastingen en heffingen zijn vastgelegd.",Class,,{C29CCD49-04E2-44b4-A6B0-AD8B10552628},,,,,Heffingsverordening,,,,,https://gemmaonline.nl/index.php/GEMMA/id-f94b299a-c9eb-4bdb-82e7-5752360494cd,,f94b299a-c9eb-4bdb-82e7-5752360494cd,,business-object,,04062025-090332,
22,Indiener,Persoon die meldiing of aanvraag doet,Class,,{E9AD325A-49CF-48a6-AA9E-7FB57E03E414},,,,,Indiener,Persoon die meldiing of aanvraag doet,,,,https://gemmaonline.nl/index.php/GEMMA/id-d4b0a5ba-7c38-44eb-8856-e3cb971dca37,Indiener (Veiligheid en Vergunningen),d4b0a5ba-7c38-44eb-8856-e3cb971dca37,,business-object,,04062025-090332,
23,Inspectie,"het inwinnen, verwerken en interpreteren van informatie met het doel om de momentane toestand van de boezemkade vast te stellen.",Class,,{F73901FC-A78E-486f-B6C6-74CFCBE26CAB},,,,,Inspectie,"het inwinnen, verwerken en interpreteren van informatie met het doel om de momentane toestand van de boezemkade vast te stellen.",,,,https://gemmaonline.nl/index.php/GEMMA/id-8922cc29-6d1c-4a9c-abd6-6a53dda41cdf,Inspectie (Veiligheid en Vergunningen),8922cc29-6d1c-4a9c-abd6-6a53dda41cdf,,business-object,,04062025-090332,
24,Kosten,De uitgaven of lasten die de gemeente maakt in het kader van haar taken en dienstverlening.,Class,,{0E4A8F94-ED08-43dc-9F78-C9DD17D34690},,,,,Kosten,,,,,https://gemmaonline.nl/index.php/GEMMA/id-b3ca70ae-c2de-4728-ac7d-a144a95c858e,,b3ca70ae-c2de-4728-ac7d-a144a95c858e,,business-object,,04062025-090332,
25,Leges_Grondslag,Leges zijn kosten die officiële overheidsinstanties in rekening brengen voor een dienst. Grondslag is een gegeven waarop het oordeel gebaseerd is.,Class,,{7F9392E5-6E43-4880-AF14-819E32A86204},,,,,LegesGrondslag,,,,,https://gemmaonline.nl/index.php/GEMMA/id-ce320796-17d5-4134-ade8-7b87211272dd,,ce320796-17d5-4134-ade8-7b87211272dd,,business-object,,04062025-090332,
26,Ligplaatsontheffing,Tijdelijke toestemming voor het innemen van een ligplaats op een locatie in een gebied met een verbod op ligplaatsen.,Class,,{872A0342-EA75-418e-9455-E51875BFD771},,,,,Ligplaatsontheffing,Tijdelijke toestemming voor het innemen van een ligplaats op een locatie in een gebied met een verbod op ligplaatsen.,,,,https://gemmaonline.nl/index.php/GEMMA/id-8bdfd1d2-6e07-40d4-9696-881968048f6f,,8bdfd1d2-6e07-40d4-9696-881968048f6f,,business-object,,04062025-090332,
27,MORAanvraagOfMelding,"Een door een burger of organisatie ingediend verzoek een besluit te nemen of om informatie te verstrekken, of een ingediende melding betreffende een waargenomen probleem, gebrek of gevaar in de openbare ruimte, die valt onder de verantwoordelijkheid van de lokale overheid voor onderhoud, beheer of handhaving.",Class,,{80F23226-8DD8-4926-B8F1-F2A3C01A29BF},,,,,MORAanvraagOfMelding,,,,,https://gemmaonline.nl/index.php/GEMMA/id-51d717fc-7e1e-466e-92eb-58c3d8b225d7,,51d717fc-7e1e-466e-92eb-58c3d8b225d7,,business-object,,04062025-090332,
28,OpenbareActiviteit,Activiteit in het publieke domein,Class,,{B2B423C3-B9C9-4b4f-A47D-85D29417B9B4},,,,,OpenbareActiviteit,Activiteit in het publieke domein,,,,https://gemmaonline.nl/index.php/GEMMA/id-9ffbd7f6-a815-4edd-9252-5ed7e873c6a0,,9ffbd7f6-a815-4edd-9252-5ed7e873c6a0,,business-object,,04062025-090332,
29,Precario,"Belasting die specifiek wordt geheven voor het plaatsen van voorwerpen onder, op of boven voor de openbare dienst bestemde gemeentegrond. ",Class,,{13BB343D-A595-43c9-8208-9BC5B05B618C},,,,,Precario,"Belasting die specifiek wordt geheven voor het plaatsen van voorwerpen onder, op of boven voor de openbare dienst bestemde gemeentegrond.",,,,https://gemmaonline.nl/index.php/GEMMA/id-01e036d1-b350-4782-b31b-7ac54ea39339,,01e036d1-b350-4782-b31b-7ac54ea39339,,business-object,,04062025-090332,
30,Producttype,,Class,,{03B4B3C0-3616-4ea2-A8B1-3D6754325F02},,,,,,,,,,,,,,,,04062025-090332,
31,SubProducttype,,Class,,{0DB447E3-B31B-4f07-8E35-7E77D0AAEF80},,,,,,,,,,,,,,,,04062025-090332,
32,Vaartuig,"Een zee- of binnenvaartuig, tot de vaart gebruikt of bestemd, daaronder begrepen drijvende werktuigen, zoals baggerwerktuigen, kranen, bokken, elevators, alsmede woonschepen, glijboten en ponten.",Class,,{D12123D3-D62D-4978-B7D4-8405F00A0D6A},,,,,Vaartuig,"Een zee- of binnenvaartuig, tot de vaart gebruikt of bestemd, daaronder begrepen drijvende werktuigen, zoals baggerwerktuigen, kranen, bokken, elevators, alsmede woonschepen, glijboten en ponten.",,,,https://gemmaonline.nl/index.php/GEMMA/id-3d86eebe-43ff-498e-9f8c-7c77a35f8730,,3d86eebe-43ff-498e-9f8c-7c77a35f8730,,business-object,,04062025-090332,
33,VOMAanvraagOfMelding,"VOM staat voor Vergunning, Ontheffing of Melding. Het betreft hier een melding of een aanvraag voor een vergunning of een ontheffing.",Class,,{44B26957-BAA4-41c2-ABBF-CC1AC91D30D6},,,,,VomAanvraagOfMelding,"VOM staat voor Vergunning, Ontheffing of Melding. Het betreft hier een melding of een aanvraag voor een vergunning of een ontheffing.",,,,https://gemmaonline.nl/index.php/GEMMA/id-f10ba880-2051-4fd8-8495-f34f1a617dc0,,f10ba880-2051-4fd8-8495-f34f1a617dc0,,business-object,,04062025-090332,
34,Vordering,"Een recht om een bedrag aan geld te ontvangen van een natuurlijke persoon of rechtspersoon, vaak voortvloeiend uit belastingaanslagen, heffingen of andere diensten.",Class,,{341942C1-0F72-4e13-ADD1-235805BB81C0},,,,,Vordering,,,,,https://gemmaonline.nl/index.php/GEMMA/id-b7161d86-f784-418b-9a78-48662d3dc83b,,b7161d86-f784-418b-9a78-48662d3dc83b,,business-object,,04062025-090332,
35,Vorderingregel,"Een voorschrift of juridische bepaling die de voorwaarden, termijnen en procedures bepaalt waaronder een schuldeiser een vordering kan uitoefenen tegen een schuldenaar.",Class,,{E2B83F97-FDFD-4876-9E66-23D79D4A4C03},,,,,,,,,,,,,,,,04062025-090332,
36,VTH-AanvraagOfMelding,"VTH staat voor Vergunning, Toezicht en Handhaving. Het betreft hier een melding of een aanvraag voor een vergunning of een melding voor Toezicht en/of Handhaving.",Class,,{EAC249B9-13F7-472b-A971-05ED32006F04},,,,,,,,,,,,,,,,04062025-090332,
37,VTH-Melding,"Melding met betrekking tot Vergunningen, Toezicht en Handhaving",Class,,{E9AEF0A9-11BC-4d2a-BC48-FB77F04EF9A6},,,,,VTHMelding,"Melding met betrekking tot Vergunningen, Toezicht en Handhaving",,,,https://gemmaonline.nl/index.php/GEMMA/id-44f31c7d-6347-4e52-a809-c48563f4b7f1,,44f31c7d-6347-4e52-a809-c48563f4b7f1,,business-object,,04062025-090332,
38,VTHzaak,,Class,,{88AF7A2E-C508-464a-AD22-DD9B156D570D},,,,,VTHZaak,,,,,https://gemmaonline.nl/index.php/GEMMA/id-0080f5e8-d0d2-4a34-816d-24c8ec6b185a,,0080f5e8-d0d2-4a34-816d-24c8ec6b185a,,business-object,,04062025-090332,
39,Waarneming,Handhavende taak in het kader van VTH,Class,,{DDC990BC-C026-4c98-BEE5-6692EA0C2515},,,,,,,,,,,,,,,,04062025-090332,
40,WABOAanvraagOfMelding,Aanvraag of medling in het kader van de Wet algemene bepalingen omgevingsrecht (WABO),Class,,{192EA281-414F-4d8d-85D1-5C1B75224942},,,,,,,,,,,,,,,,04062025-090332,
41,WoonfraudeAanvraagOfMelding,Melding of aanvraag van woonfraude,Class,,{5CE9E5F3-BA9A-47e4-A4C1-DE21E66E9F8E},,,,,WoonfraudeAanvraagOfMelding,Melding of aanvraag van woonfraude,,,,https://gemmaonline.nl/index.php/GEMMA/id-2856ae2a-1424-41ad-ab9c-0e166972fb2f,,2856ae2a-1424-41ad-ab9c-0e166972fb2f,,business-object,,04062025-090332,
42,WoonoverlastAanvraagOfMelding,Melding of aanvraag met betrekking tot Woonoverlast,Class,,{CB5BCFAA-01F3-468d-A5CE-4E08D3E4FFC2},,,,,WoonoverlastAanvraagOfMelding,Melding of aanvraag met betrekking tot Woonoverlast,,,,https://gemmaonline.nl/index.php/GEMMA/id-ee5a2678-e98b-44af-ae3f-f0c620a66681,,ee5a2678-e98b-44af-ae3f-f0c620a66681,,business-object,,04062025-090332,
43,Belprovider,Leverancier of dienstverlener van modiele beldiensten,Class,,{6C283ABA-C1A3-465b-B267-39E75D06E41F},,,,,Belprovider,Leverancier of dienstverlener van modiele beldiensten,,,,https://gemmaonline.nl/index.php/GEMMA/id-59bf814b-1020-4906-978b-ca22af2eecc0,,59bf814b-1020-4906-978b-ca22af2eecc0,,business-object,,04062025-090332,
44,MulderFeit,"Een administratieve overtreding met betrekking tot parkeren, zoals bepaald onder de Wet administratiefrechtelijke handhaving verkeersvoorschriften (WAHV), ook wel bekend als de Mulderwet.",Class,,{4EA4D754-FAD7-4caf-8060-342689EC16FE},,,,,,,,,,,,,,,,04062025-090332,
45,Naheffing,Het achteraf vorderen van te weinig betaalde belasting ,Class,Navordering,{4957AC99-3F36-4959-A210-9EC6759B87F8},,,,,Naheffing,Het achteraf vorderen van te weinig betaalde belasting,,Navordering,,https://gemmaonline.nl/index.php/GEMMA/id-d10d2101-2e16-4f56-bcce-43783fd256be,,d10d2101-2e16-4f56-bcce-43783fd256be,,business-object,,04062025-090332,
46,Parkeergarage,Open constructie die geheel of gedeeltelijk in gebruik is als voorziening voor het parkeren van voertuigen,Class,,{8F492648-6EF2-4f8a-87C9-2440230D4137},,,,,Parkeergarage,Open constructie die geheel of gedeeltelijk in gebruik is als voorziening voor het parkeren van voertuigen,,,,https://gemmaonline.nl/index.php/GEMMA/id-3aed2196-8ba9-4441-a27f-15a1f76d3fda,,3aed2196-8ba9-4441-a27f-15a1f76d3fda,,business-object,,04062025-090332,
47,Parkeerrecht,Het onder bepaalde voorwaarden (zoals betaling parkeerbelasting of parkeergeld) ontstane recht om een voertuig gedurende een bepaalde of onbepaalde periode op een daartoe benoemde parkeerplaats of in/op een daartoe benoemde parkeervoorziening te parkeren.,Class,,{9E0936E5-6B50-4205-BA5D-FEB80486D6F1},,,,,Parkeerrecht,Het onder bepaalde voorwaarden (zoals betaling parkeerbelasting of parkeergeld) ontstane recht om een voertuig gedurende een bepaalde of onbepaalde periode op een daartoe benoemde parkeerplaats of in/op een daartoe benoemde parkeervoorziening te parkeren.,,,,https://gemmaonline.nl/index.php/GEMMA/id-ae658af8-46be-4d41-ba95-c5e24cec7598,,ae658af8-46be-4d41-ba95-c5e24cec7598,,business-object,,04062025-090332,
48,Parkeerscan,Waarneming van een parkeeractie door een scanauto,Class,,{653EEEA7-ED82-427d-BD72-86C847793AD6},,,,,Parkeerscan,Waarneming van een parkeeractie door een scanauto,,,,https://gemmaonline.nl/index.php/GEMMA/id-078d57f3-e8a0-485e-a175-c1b3de49eee0,,078d57f3-e8a0-485e-a175-c1b3de49eee0,,business-object,,04062025-090332,
49,Parkeervergunning,Officiele toestemming dat je op een bepaalde plek mag parkeren,Class,,{FF448272-AB9D-4ec9-B4BE-E60E2552817A},,,,,Parkeervergunning,Officiele toestemming dat je op een bepaalde plek mag parkeren,,,,https://gemmaonline.nl/index.php/GEMMA/id-1486de79-ad71-4dce-8473-f23f1e9c436c,,1486de79-ad71-4dce-8473-f23f1e9c436c,,business-object,,04062025-090332,
50,Parkeervlak,Parkeergelegenheid bestemd voor het parkeren van een of meerdere voertuigen direct langs de doorgaande weg gelegen.,Class,,{5E5C58AD-1634-4656-A183-EBA00F18F30E},,,,,Parkeervlak,Parkeergelegenheid bestemd voor het parkeren van een of meerdere voertuigen direct langs de doorgaande weg gelegen.,,,,https://gemmaonline.nl/index.php/GEMMA/id-30d7e3ac-081c-4ef6-a09e-90437b5a4349,,30d7e3ac-081c-4ef6-a09e-90437b5a4349,,business-object,,04062025-090332,
51,Perkeerzone,Een afgebakend gebied binnen een gemeente  waar specifieke parkeerregels en -voorwaarden van toepassing zijn.,Class,,{27219A32-3B52-4f54-AA67-A972F4B7D9D0},,,,,Perkeerzone,,,,,https://gemmaonline.nl/index.php/GEMMA/id-e5293eea-47b8-4091-8ac3-b28139a17c9f,,e5293eea-47b8-4091-8ac3-b28139a17c9f,,business-object,,04062025-090332,
52,Productgroep,Groepering van producten,Class,,{209ACADD-34C7-4dc8-90AD-C6B3E092FBFD},,,,,,,,,,,,,,,,04062025-090332,
53,Productsoort,Typologie van een product,Class,,{1CB4051D-B78A-48f0-AE3E-A98D997A5612},,,,,,,,,,,,,,,,04062025-090332,
54,Straatsectie,Gedeelte van een straat,Class,,{339ACCD5-1D13-4a48-83DE-05A0A4A54C43},,,,,,,,,,,,,,,,04062025-090332,
55,Voertuig,Vervoermiddel bestemd voor het verkeer over wegen,Class,,{6AD98160-FFE6-4105-A724-5D5733C87CD8},,,,,Voertuig,Vervoermiddel bestemd voor het verkeer over wegen,,,,https://gemmaonline.nl/index.php/GEMMA/id-b083bd60-0137-40b0-ad72-4602b3c1d754,,b083bd60-0137-40b0-ad72-4602b3c1d754,,business-object,,04062025-090332,
56,Stremming,Situatie waarbij de doorstroming van het (vaar)wegverkeer plaatselijk is geblokkeerd als gevolg van een incident,Class,,{999725EE-737F-410e-906B-9865EBED3597},,,,,Stremming,Situatie waarbij de doorstroming van het (vaar)wegverkeer plaatselijk is geblokkeerd als gevolg van een incident,,,,https://gemmaonline.nl/index.php/GEMMA/id-563fd27c-7299-4311-8f40-60a95b9da4b5,,563fd27c-7299-4311-8f40-60a95b9da4b5,,business-object,,04062025-090332,
57,Strooidag,Dag waarop op wegen gestrooid wordt ter voorkoming van gladheid,Class,,{E2448A6D-3AE0-4884-AD5C-215A9E7166DE},,,,,,,,,,,,,,,,04062025-090332,
58,Strooiroute,Traject waarop het strooien plaatsvindt,Class,,{73090FF8-12FD-471e-80FD-DBFB2FF97D7B},,,,,Strooiroute,Traject waarop het strooien plaatsvindt,,,,https://gemmaonline.nl/index.php/GEMMA/id-8d6c2c57-1e18-4257-a894-5f5d751279ea,,8d6c2c57-1e18-4257-a894-5f5d751279ea,,business-object,,04062025-090332,
59,StrooirouteUitvoering,De route die uiteindelijk is gevolgd voor het strooien ,Class,,{B825D33A-6DCE-4263-A031-E6E92C4EE86B},,,,,,,,,,,,,,,,04062025-090332,
60,Verkeersbesluit,"Een besluit van een wegbeheerder om een bepaald verkeersteken te plaatsen, te wijzigen of in te trekken of een bepaalde fysieke maatregel te treffen. ",Class,,{3F83DAA3-C37F-42b2-8D35-D75B840172F8},,,,,Verkeersbesluit,"Een besluit van een wegbeheerder om een bepaald verkeersteken te plaatsen, te wijzigen of in te trekken of een bepaalde fysieke maatregel te treffen.",,,,https://gemmaonline.nl/index.php/GEMMA/id-833312cc-f7d8-4b4c-9e79-b21c8e7597cb,,833312cc-f7d8-4b4c-9e79-b21c8e7597cb,,business-object,,04062025-090332,
61,Verkeerstelling,"Een onderzoek om inzicht te krijgen in het verkeer, in de hoeveelheid verkeer, de verdeling en de gereden snelheid.",Class,,{DBE739FD-EBC4-4650-8A2B-714294A63A73},,,,,Verkeerstelling,"Een onderzoek om inzicht te krijgen in het verkeer, in de hoeveelheid verkeer, de verdeling en de gereden snelheid.",,,,https://gemmaonline.nl/index.php/GEMMA/id-cb656c23-5e43-4f7d-9c06-ff5351911fdb,,cb656c23-5e43-4f7d-9c06-ff5351911fdb,,business-object,,04062025-090332,
62,VLogInfo,V-log is een open standaard voor datalogging van een verkeersregelinstallatie.,Class,,{E4EEBD4D-A41E-4c9d-8099-CDA45BFF0056},,,,,,,,,,,,,,,,04062025-090332,
63,Contact,Persoon waarmee communicatie plaatsvindt,Class,,{3BF6985C-06AB-4cfc-9A0E-5CC37C224245},,,,,,,,,,,,,,,,04062025-090332,
64,Hotel,Gebouw waar je tegen betaling kunt logeren.,Class,,{5805FA72-C0CE-43c1-A53F-B81166AEFDD4},,,,,Hotel,Gebouw waar je tegen betaling kunt logeren.,,,,https://gemmaonline.nl/index.php/GEMMA/id-4b2cc303-de99-49c4-968f-836a71825814,,4b2cc303-de99-49c4-968f-836a71825814,,business-object,,04062025-090332,
65,Hotelbezoek,Verblijf in een hotel,Class,,{669000E9-25D6-4346-B718-516CDB8B88B7},,,,,Hotelbezoek,Verblijf in een hotel,,,,https://gemmaonline.nl/index.php/GEMMA/id-b8e61a1f-ed19-4cd3-b873-0fe7d85beb9b,,b8e61a1f-ed19-4cd3-b873-0fe7d85beb9b,,business-object,,04062025-090332,
66,Verkooppunt,Locatie waar iets wordt verkocht,Class,,{8F05E7BA-E7ED-45d1-9626-C8D7FBDB2F1B},,,,,Verkooppunt,Locatie waar iets wordt verkocht,,,,https://gemmaonline.nl/index.php/GEMMA/id-9f1dd63c-3407-460d-aef7-56cb6c3c20ad,,9f1dd63c-3407-460d-aef7-56cb6c3c20ad,,business-object,,04062025-090332,
67,Werkgelegenheid,"De vraag naar arbeid, te berekenen door de totale productie te delen door de arbeidsproductiviteit per persoon.",Class,,{EB35F5B8-9289-49cc-8DF4-8BD20EC662A9},,,,,Werkgelegenheid,"De vraag naar arbeid, te berekenen door de totale productie te delen door de arbeidsproductiviteit per persoon.",,,,https://gemmaonline.nl/index.php/GEMMA/id-21343647-4fed-40b8-8a9e-4672592d2aa8,,21343647-4fed-40b8-8a9e-4672592d2aa8,,business-object,,04062025-090332,
68,Winkelvloeroppervlak,Gemeten oppervlakte in vierkante meters van een winkel,Class,,{0EABA880-434F-41c3-A41D-0002222AAC2A},,,,,,,,,,,,,,,,04062025-090332,
69,Aanvraag Leerlingenvervoer,Een aanvraag voor een leerling die recht heeft op vervoer van en naar onderwijs.,Class,,{07F40D10-74AC-4f56-8B71-A236A63C2122},,,,,AanvraagLeerlingenvervoer,Een aanvraag voor een leerling die recht heeft op vervoer van en naar onderwijs.,,,,https://gemmaonline.nl/index.php/GEMMA/id-41c1c340-9952-4bd9-8f45-fec2c0a1ddd7,,41c1c340-9952-4bd9-8f45-fec2c0a1ddd7,,business-object,,04062025-090332,
70,AanvraagOfMelding,Komt overeen met een VJV,Class,,{66E2B5BA-44A0-4fde-AE33-E211EE4832C2},,,,,AanvraagOfMelding,Komt overeen met een VJV,Via het Omgevingsloket kunnen initiatiefnemers een vergunningaanvraag of een melding indienen in het Digitaal Stelsel Omgevingswet (DSO). Duidelijke stappen en vragen leiden hen door dit proces. De overheid vertaalt hiervoor indieningsvereisten naar toepa,,,https://gemmaonline.nl/index.php/GEMMA/id-13ede1f8-bf63-4da6-abbd-cdc18b7ec39a,AanvraagOfMelding (Leerplicht en Leerlingenvervoer),13ede1f8-bf63-4da6-abbd-cdc18b7ec39a,,business-object,,04062025-090332,Via het Omgevingsloket kunnen initiatiefnemers een vergunningaanvraag of een melding indienen in het Digitaal Stelsel Omgevingswet (DSO). Duidelijke stappen en vragen leiden hen door dit proces. De overheid vertaalt hiervoor indieningsvereisten naar toepa
71,AanvraagVrijstelling,Vrijstelling van een aanvraag voor leerlingenvervoer,Class,,{450F47A7-758F-400c-82EB-05535EBDD426},,,,,,,,,,,,,,,,04062025-090332,
