"nr","naam","definitie","uml-type","ggm-guid","bron","domein-iv3","archimate-type","toelichting","gemma-guid","synoniemen","domein-dcat","domein-gemma","datum-tijd-export"
"946","Verkeerstelling","Een onderzoek om inzicht te krijgen in het verkeer, in de hoeveelheid verkeer, de verdeling en de gereden snelheid.","Class","{DBE739FD-EBC4-4650-8A2B-714294A63A73}","","Verkeer","Business object","","id-dbe739fd-ebc4-4650-8a2b-714294a63a73","","","","28062023-11:06:06"
"947","Verkooppunt","Locatie waar iets wordt verkocht","Class","{8F05E7BA-E7ED-45d1-9626-C8D7FBDB2F1B}","","Economie en Bedrijvigheid","Business object","","id-8f05e7ba-e7ed-45d1-9626-c8d7fbdb2f1b","","","","28062023-11:06:06"
"948","Verkoopvloeroppervlakte","de voor het publiek zichtbare en toegankelijke besloten winkelruimte ten behoeve van de detailhandel","","","","","Business object","","id-53f97d52-cc10-45b7-a86f-d97653e37db3","","","","28062023-11:06:06"
"949","Verlenging ZAAK","<font color=""#610e6a"">Gegevens omtrent het verlengen van de doorlooptijd van de behandeling van de ZAAK</font>","Class","{7014565C-F8AF-459a-A2FD-30E8D7F9F0CC}","","Groepattribuutsoort","Data object","","id-7014565c-f8af-459a-a2fd-30e8d7f9f0cc","","","","28062023-11:06:06"
"950","Verlichtingsobject","Paal of mast waaraan openbare verlichting is bevestigd.","Class","{8CD4C799-C403-41B6-B409-06D37398E31}","","Ruimte","Business object","","id-8cd4c799-c403-41b6-b409-06d37398e31","","","","28062023-11:06:06"
"951","Verlof","Een periode waarin iemand toestemming heeft om iets te doen, in het bijzonder om afwezig te zijn.","Class","{D04135BF-C2F0-46dd-B332-F1BE36C358EF}","https://www.begrippenxl.nl/bv/nl/page/Verlof","HR","Business object","","id-d04135bf-c2f0-46dd-b332-f1be36c358ef","","","","28062023-11:06:06"
"952","Verlofaanvraag","Een verzoek om toestemming te krijgen iets te doen, bijvoorbeeld vakantie of studie","Class","{E9DECE41-F7F5-49f1-94B5-63DE941F6094}","","Leerplicht en Leerlingenvervoer","Data object","","id-e9dece41-f7f5-49f1-94b5-63de941f6094","","","","28062023-11:06:06"
"953","Verlofsoort","Typering van verlof","Class","{ED741EE1-E773-40e3-B0E6-8D9886EB792F}","","HR","Data object","","id-ed741ee1-e773-40e3-b0e6-8d9886eb792f","","","","28062023-11:06:06"
"954","Versie","De versie-aanduiding van een object.","Class","{39445166-1EAB-43f8-9F5C-89EA606605EE}","https://definities.geostandaarden.nl/nen3610-2022/id/begrip/versie","ICT","Business object","","id-39445166-1eab-43f8-9f5c-89ea606605ee","","","","28062023-11:06:06"
"955","Verstrekkingsbeperking  partieel ingeschreven natuurlijk persoon","Een INGESCHREVEN NATUURLIJK PERSOON kan voor één of meerdere partijen kiezen voor wie een verstrekkingsbeperking geldt.","Class","{8E090A86-8095-458c-B162-B09982158CD5}","","Groepattribuutsoort","Data object","","id-8e090a86-8095-458c-b162-b09982158cd5","","","","28062023-11:06:06"
"956","Vertrouwelijk aanduiding DOCUMENT","","Enumeration","{6219C450-09BD-4b0d-887B-911F72EDEF1B}","","Enumeratiesoort","Data object","","id-6219c450-09bd-4b0d-887b-911f72edef1b","","","","28062023-11:06:06"
"957","Vervalreden BESLUIT","","Enumeration","{4FEBD2DA-6129-405c-9164-E27591F1DC44}","","Enumeratiesoort","Data object","","id-4febd2da-6129-405c-9164-e27591f1dc44","","","","28062023-11:06:06"
