"nr","naam","definitie","uml-type","ggm-guid","bron","domein-iv3","archimate-type","toelichting","gemma-guid","synoniemen","domein-dcat","domein-gemma","datum-tijd-export"
"1","Aanbesteding (Inkoop)","Kan een (enkel of meervoudige) onderhandse aanbesteding, of een nationale of Europese aanbesteding ","Class","{44EC6082-2682-43c7-A52E-0AD05B06A046}","https://data.crow.nl/thesaurus/term/A329D70E-12C3-47AB-8F12-7F3DBAFBA9CE","Inkoop","Business object","","id-44ec6082-2682-43c7-a52e-0ad05b06a046","","","","28062023-11:06:06"
"2","Aanbesteding (Vastgoed)","Een procedure waarbij een opdrachtgever bekendmaakt dat hij een opdracht of concessie wil laten uitvoeren en bedrijven uitnodigt om een offerte in te dienen.","Class","{17FCEF39-AB9D-4516-9C60-1DDA61D87356}","","Vastgoed","Data object","","id-17fcef39-ab9d-4516-9c60-1dda61d87356","","","","28062023-11:06:06"
"3","Aanbesteding Inhuur","Aanbesteding voor inhuur van personen of diensten","Class","{01D90490-C76A-444a-BFCE-355AFC5FB012}","","Inkoop","Business object","","id-01d90490-c76a-444a-bfce-355afc5fb012","","","","28062023-11:06:06"
"4","Aanbestedingsoort","","Enumeration","{B8B79BCE-8F87-46f7-BB15-288266799E56}","","Inkoop","Data object","","id-b8b79bce-8f87-46f7-bb15-288266799e56","","","","28062023-11:06:06"
"5","AANDUIDING VERBLIJFSRECHT","Aanduiding in verband met het verblijfsrecht van de vreemdeling.","Class","{EBE4A0C9-9281-4750-8E70-AF70A549CD6B}","https://www.gemmaonline.nl/index.php/Informatiemodel_Basis-_en_Kerngegevens_(RSGB)","Referentielijsten","Business object","","id-ebe4a0c9-9281-4750-8e70-af70a549cd6b","","","","28062023-11:06:06"
"6","aanduidingEigenaarGebruiker","Een aanduiding van alle waarden waarmee soort belang van een eigenaar / gebruiker wordt aangeduid. ","Enumeration","{E5990F7B-3BD5-4e8f-9595-1F50FD952BD5}","","Enumeratiesoort","Data object","","id-e5990f7b-3bd5-4e8f-9595-1f50fd952bd5","","","","28062023-11:06:06"
"7","aanduidingInhoudingVermissingReisdocument","De mogelijke waarden van de aanduiding van inhouding of vermissing van een Nederlands reisdocument. 
Zie logisch ontwerp BRP bij de stamtabellen
","Enumeration","{9B477DCC-620F-4128-A65D-0CD045BCE16B}","","Enumeratiesoort","Data object","","id-9b477dcc-620f-4128-a65d-0cd045bce16b","","","","28062023-11:06:06"
"8","aangever","De aangever adreshouding mag alleen een binnen de centrale voorzieningen voorgedefinieerde waarde hebben. Zie logisch ontwerp BRP bij de stamtabellen","Enumeration","{9FB86122-42DC-4375-ABF7-018B98BD3A3F}","","Enumeratiesoort","Data object","","id-9fb86122-42dc-4375-abf7-018b98bd3a3f","","","","28062023-11:06:06"
"9","Aankondiging","Aankondiging van een Nationale of Europese aanbesteding","Class","{BB135B0E-A2C2-4681-BD91-30863F8B3D70}","","Inkoop","Business object","","id-bb135b0e-a2c2-4681-bd91-30863f8b3d70","Kennisgeving, Bekendmaking","","","28062023-11:06:06"
"10","Aansluitput","Type put met de functie aansluitleidingen aansluiten","Class","{401EC4C0-809B-48F0-9646-0F646A8F1AE}","","Ruimte","Business object","","id-401ec4c0-809b-48f0-9646-0f646a8f1ae","","","","28062023-11:06:06"
"11","Aanstelling","De rechtsbetrekking tussen werkgever en werknemer zoals vastgelegd in een arbeidsovereenkomst.","Class","{F95E3068-5FAA-47a4-995F-5B9ADF2FA2C7}","https://www.begrippenxl.nl/bv/nl/page/Dienstverband","HR","Business object","","id-f95e3068-5faa-47a4-995f-5b9adf2fa2c7","Dienstverband","","","28062023-11:06:06"
"12","Aantal","Een onbepaalde maar telbare hoeveelheid","Class","{E8BAADC6-ABB5-4586-8E4B-F1689CAEA1A1}","","Sport","Data object","","id-e8baadc6-abb5-4586-8e4b-f1689caea1a1","","","","28062023-11:06:06"
"13","Aantal Gehinderden","","Enumeration","{C00A2866-8F7D-4be3-A676-794C9A477556}","","Verkeer","Data object","","id-c00a2866-8f7d-4be3-a676-794c9a477556","","","","28062023-11:06:06"
"14","Aantekening","","Class","{755B80B2-6522-4c58-A998-D3F00859FE78}","","RSGB Model","Data object","","id-755b80b2-6522-4c58-a998-d3f00859fe78","","","","28062023-11:06:06"
"15","Aanvraag (Erfgoed: Archief)","(officieel) verzoek, iets (officieel) vragen aan een bevoegde macht.","Class","{2F2A3590-9B34-4ec5-B0AE-B487ED241155}","","Erfgoed: Archief","Data object","","id-2f2a3590-9b34-4ec5-b0ae-b487ed241155","","","","28062023-11:06:06"
"16","Aanvraag (ICT)","(officieel) verzoek, iets (officieel) vragen aan een bevoegde macht.","Class","{446E3931-B9F2-4b5c-80E7-5B240B8F816F}","","ICT","Business object","","id-446e3931-b9f2-4b5c-80e7-5b240b8f816f","Verzoek","","","28062023-11:06:06"
"17","Aanvraag Inkooporder","het betreft hier het formulier 'Aanvraag Inkooporder'","Class","{33E5EA10-F43A-4966-B9C1-875F0E2C1B52}","","Inkoop","Business object","","id-33e5ea10-f43a-4966-b9c1-875f0e2c1b52","","","","28062023-11:06:06"
"18","Aanvraag Leerlingenvervoer","Een aanvraag voor een leerling die recht heeft op vervoer van en naar onderwijs.","Class","{07F40D10-74AC-4f56-8B71-A236A63C2122}","","Leerplicht en Leerlingenvervoer","Business object","","id-07f40d10-74ac-4f56-8b71-a236a63c2122","","","","28062023-11:06:06"
"19","Aanvraagdata","Bron: GEN_REQ_DATA
ID: REQ_DATA icm VELD_NAAM","Class","{1F68C981-7E16-4368-8867-CA00AEB08A04}","","Dienstverlening","Business object","","id-1f68c981-7e16-4368-8867-ca00aeb08a04","","","","28062023-11:06:06"
"20","AanvraagDelftpas","Te specifiek. AanvraagGemeentepas","Class","{16F94A03-C376-4314-94AA-4DB14AD00EB9}","","Generiek Jeugd en Wmo","Business object","","id-16f94a03-c376-4314-94aa-4db14ad00eb9","","","","28062023-11:06:06"
"21","AanvraagOfMelding (Dienstverlening)","Komt overeen met een VJV

Bron: GEM_VJV (Distinct op REQ_ID)
ID: REQ_ID","Class","{8E6BAEF8-1878-400f-9244-23575BD41EAB}","","Dienstverlening","Data object","","id-8e6baef8-1878-400f-9244-23575bd41eab","","","","28062023-11:06:06"
"22","AanvraagOfMelding (Leerplicht en Leerlingenvervoer)","Komt overeen met een VJV","Class","{66E2B5BA-44A0-4fde-AE33-E211EE4832C2}","","Leerplicht en Leerlingenvervoer","Business object","Via het Omgevingsloket kunnen initiatiefnemers een vergunningaanvraag of een melding indienen in het Digitaal Stelsel Omgevingswet (DSO). Duidelijke stappen en vragen leiden hen door dit proces. De overheid vertaalt hiervoor indieningsvereisten naar toepasbare regels voor het loket.","id-66e2b5ba-44a0-4fde-ae33-e211ee4832c2","","","","28062023-11:06:06"
"23","AanvraagOfMelding (MOR 2.0)","Komt overeen met een VJV

Bron: GEM_VJV (Distinct op REQ_ID)
ID: REQ_ID","Class","{1E5BFA0A-588A-4610-AE53-6893D61E707A}","","MOR 2.0","Data object","","id-1e5bfa0a-588a-4610-ae53-6893d61e707a","","","","28062023-11:06:06"
"24","Aanvraagvrijstelling","Vrijstelling van een aanvraag voor leerlingenvervoer","Class","{450F47A7-758F-400c-82EB-05535EBDD426}","","Leerplicht en Leerlingenvervoer","Data object","","id-450f47a7-758f-400c-82eb-05535ebdd426","","","","28062023-11:06:06"
"25","Aanwezige Deelnemer","iemand die meedoet aan eencollege- of raadsvergadering","Class","{F1E55DC7-0F33-40ea-8713-2E1AC3D7EE8D}","","Griffie","Business object","","id-f1e55dc7-0f33-40ea-8713-2e1ac3d7ee8d","","","","28062023-11:06:06"
"26","AARD AANTEKENING","Een opsomming van de diverse aarden van de aantekeningen zoals door de Dienst Kadaster is onderscheiden.","Class","{BE0C0747-E9CD-4ae1-A83C-94A724513C7B}","","Referentielijsten","Data object","","id-be0c0747-e9cd-4ae1-a83c-94a724513c7b","","","","28062023-11:06:06"
"27","AARD FILIATIE","Een opsomming van redenen waarom kadastrale onroerende zaken aan elkaar gerelateerd kunnen zijn","Class","{1453EF69-1E5E-49ae-8510-A68652374710}","","Referentielijsten","Data object","","id-1453ef69-1e5e-49ae-8510-a68652374710","","","","28062023-11:06:06"
"28","AARD ZAKELIJK RECHT","Een opsomming van de diverse aarden van het zakelijk rechten zoals door de Dienst Kadaster is onderscheiden.","Class","{AC4F4A9C-1623-4447-9813-0722CDD58E66}","","Referentielijsten","Data object","","id-ac4f4a9c-1623-4447-9813-0722cdd58e66","","","","28062023-11:06:06"
"29","ACADEMISCHE TITEL","Een formeel via het Staatsblad gepubliceerde aanduiding van een wetenschappelijke of andere graad van opleiding welke bij aanschrijving voorafgaat aan de voornamen (dan wel de daarvan afgeleide naamgegevens) dan wel volgt op de achternaam.","Class","{B2857D85-8135-461e-90FF-A2E3DDD9981D}","","Referentielijsten","Data object","","id-b2857d85-8135-461e-90ff-a2e3ddd9981d","","","","28062023-11:06:06"
"30","Actie","Kleinst mogelijke eenheid van werk die zinvol onderscheiden kan worden, uitgevoerd door een persoon of machine op 1 plek op 1 moment.","Class","{DDE9A5B3-1E56-4058-8D12-A774F43B5D26}","https://begrippen.hunzeenaas.nl/id/begrip/Id-b4d464ee-26e3-45c4-9f29-1f98ee8b5d1a","Ruimte","Business object","bron: Bedrijfsarchitectuur op basis van Novius Architectuur Methode, code: 6.2.4","id-dde9a5b3-1e56-4058-8d12-a774f43b5d26","","","","28062023-11:06:06"
"31","Activa","Bezittingen van een onderneming op een boekhoudkundige balans","Class","{7B8D0A8F-07BF-42bf-90B3-28A72BD4401A}","","Financien","Business object","","id-7b8d0a8f-07bf-42bf-90b3-28a72bd4401a","","","","28062023-11:06:06"
"32","Activasoort","Typering van activa","Class","{2483BD14-7FA7-4514-A565-C7F7967E226D}","","Financien","Data object","","id-2483bd14-7fa7-4514-a565-c7f7967e226d","","","","28062023-11:06:06"
"33","Activiteit (Museum Prinsenhof)","Ieder menselijk handelen waarbij, of ieder menselijk nalaten waardoor een verandering of effect in de (fysieke) leefomgeving wordt of kan worden bewerkstelligd. ","Class","{A1C60F39-3074-4d1c-A37D-5F431F54DF92}","https://geonovum.github.io/TPOD/CIMOW/CIMOW_v2.1.0.pdf","Museum Prinsenhof","Business object","Bijvoorbeeld: het lozen van afvalwater, het bouwen van hoogbouw, het exploiteren van een jachthaven. Het objecttype activiteit is een typering van alle activiteiten die bijvoorbeeld een initiatiefnemer kan uitvoeren in de leefomgeving. Er wordt geen specifieke activiteit bedoeld die een specifieke initiatiefnemer voornemens is om uit te voeren, maar het type activiteit waarover regels opgesteld zijn.","id-a1c60f39-3074-4d1c-a37d-5f431f54df92","","","","28062023-11:06:06"
"34","Activiteit (Omgevingswet)","Ieder menselijk handelen waarbij, of ieder menselijk nalaten waardoor een verandering of effect in de (fysieke) leefomgeving wordt of kan worden bewerkstelligd. ","Class","{8BE600D0-EBF4-475b-8801-F387A5D39009}","","Omgevingswet","Data object","","id-8be600d0-ebf4-475b-8801-f387a5d39009","","","","28062023-11:06:06"
"35","Activiteit (Vergunningverlening, Toezicht en Handhaving)","Ieder menselijk handelen waarbij, of ieder menselijk nalaten waardoor een verandering of effect in de (fysieke) leefomgeving wordt of kan worden bewerkstelligd. ","Class","{9547BC67-7488-4d9a-B651-2B69A62D789F}","","Vergunningverlening, Toezicht en Handhaving","Data object","","id-9547bc67-7488-4d9a-b651-2b69a62d789f","","","","28062023-11:06:06"
"36","Activiteitregelkwalificatie","De naam van de kwalificatie van de Juridische regel over een activiteit.","","","https://geonovum.github.io/TPOD/CIMOW/CIMOW_v2.1.0.pdf","","Business object","Bijvoorbeeld: gebod, verbod. Dit gebod of verbod wordt gesteld vanuit de juridische regel, maar geldt voor de activiteit op een bepaalde locatie.","id-4d4663fa561e405d9a8ae81868c0549b","","","","28062023-11:06:06"
"37","Activiteitsoort","Typering van een activiteit","Class","{D77AB8CF-E4B1-49fd-BE78-FE358FF76F13}","","Museum Prinsenhof","Data object","","id-d77ab8cf-e4b1-49fd-be78-fe358ff76f13","","","","28062023-11:06:06"
"38","adelijkeTitel","Zie logisch ontwerp BRP bij de stamtabellen","Enumeration","{C27488AF-81A5-4ae3-8838-C036EA0B3167}","","Enumeratiesoort","Data object","","id-c27488af-81a5-4ae3-8838-c036ea0b3167","","","","28062023-11:06:06"
"39","Adres Buitenland","Toevoeging uit stelselcatalogus

","Class","{3E5B2877-D6CC-487e-BD79-042E32D17550}","","RSGB Model","Data object","","id-3e5b2877-d6cc-487e-bd79-042e32d17550","","","","28062023-11:06:06"
"40","Adresaanduiding (Groepattribuutsoort)","De adresaanduiding van het WOZ-OBJECT","Class","{C14C1D0E-2EE3-4d79-B7AB-BC0B7686FEF4}","https://www.gemmaonline.nl/index.php/Rgbz_2.0/doc/gegevensgroeptype/woz-object.adresaanduiding_woz-object","Groepattribuutsoort","Data object","","id-c14c1d0e-2ee3-4d79-b7ab-bc0b7686fef4","","","","28062023-11:06:06"
"41","Adresaanduiding (Vastgoed)","De adresaanduiding van het WOZ-OBJECT","Class","{909E635B-E33D-4ded-8471-900CD175B7D1}","","Vastgoed","Data object","","id-909e635b-e33d-4ded-8471-900cd175b7d1","","","","28062023-11:06:06"
"42","ADRESSEERBAAR OBJECT AANDUIDING","Een door het bevoegde gemeentelijke orgaan als zodanig toegekende aanduiding van een VERBLIJFSOBJECT, een STANDPLAATS of een LIGPLAATS.","Class","{BA35A5E2-5A1D-4328-91CD-D51694ED5FBA}","https://www.gemmaonline.nl/index.php/Informatiemodel_Zaken_(RGBZ)","RSGB Model","Business object","","id-ba35a5e2-5a1d-4328-91cd-d51694ed5fba","","","","28062023-11:06:06"
"43","Afspraakstatus","","Class","{5AA9821A-A88A-480b-9950-70FE017593B3}","","Dienstverlening","Business object","","id-5aa9821a-a88a-480b-9950-70fe017593b3","","","","28062023-11:06:06"
"44","Afvalbak","Inzamelobject voor afval in de openbare ruimte dat handmatig kan worden leeggemaakt.
Toelichting: Inzamelobject voor afval in de openbare ruimte dat handmatig kan worden leeggemaakt.","Class","{58EF1415-6ACB-412B-9C3E-E390BB2AE3B}","","Ruimte","Business object","","id-58ef1415-6acb-412b-9c3e-e390bb2ae3b","","","","28062023-11:06:06"
"45","Afwijkend buitenlands correspondentieadres ROL","<font color=""#610e6a"">De gegevens van het adres in het buitenland waarop BETROKKENE in zijn/haar ROL in de ZAAK in de regel schriftelijk bereikbaar is indien dat afwijkt van het reguliere buitenlandse correspondentieadres van BETROKKENE</font>","Class","{6F75D9F8-50B8-4d89-9798-26B7FD9A6DA2}","","Groepattribuutsoort","Data object","","id-6f75d9f8-50b8-4d89-9798-26b7fd9a6da2","","","","28062023-11:06:06"
"46","Afwijkend correspondentie postadres ROL","<font color=""#610e6a"">De gegevens die tezamen een postbusadres of antwoordnummeradres vormen waarvan BETROKKENE, geen ORGANISATORISCHE EENHEID en MEDEWERKER ziinde, heeft aangegeven schriftelijk bereikbaar te zijn in verband met zijn/haar ROL in de ZAAK en dat afwijkt van de reguliere correspondentiegegevens van BETROKKENE.</font>","Class","{8F133649-AE11-491c-998B-6288B7FC8FE4}","","Groepattribuutsoort","Data object","","id-8f133649-ae11-491c-998b-6288b7fc8fe4","","","","28062023-11:06:06"
"47","Agendapunt","Een onderwerp dat in de vergadering wordt behandeld.","Class","{73FB5212-40ED-40dc-B837-36588840445A}","https://www.notuleercentrum.nl/service-voor-notulisten/woordenlijst-voor-notulisten","Griffie","Data object","","id-73fb5212-40ed-40dc-b837-36588840445a","","","","28062023-11:06:06"
"48","AKR KADASTRALE GEMEENTECODE","De door de Dienst Kadaster onderkende AKR codes voor  kadastrale gemeenten","Class","{6BA8DD14-1CC9-4669-BDCC-856B5C628D6B}","","Referentielijsten","Business object","","id-6ba8dd14-1cc9-4669-bdcc-856b5c628d6b","","","","28062023-11:06:06"
"49","Ambacht","Beroep waarbij een handwerker met gereedschap eindproducten maakt.","Class","{54944273-F312-44b2-A78D-43488F915429}","","Erfgoed: Monumenten ","Business object","","id-54944273-f312-44b2-a78d-43488f915429","","","","28062023-11:06:06"
"50","Ander zaakobject ZAAK","<font color=""#610e6a"">Aanduiding van het object (of de objecten) waarop de ZAAK betrekking heeft indien dat object (of die objecten) niet aangeduid kan worden met de relatie &lsquo;heeft betrekking op ZAAKOBJECT&rsquo;.</font>","Class","{ABF8E616-8600-49e8-BD38-52F7C9FB70CA}","","Groepattribuutsoort","Data object","","id-abf8e616-8600-49e8-bd38-52f7c9fb70ca","","","","28062023-11:06:06"
"51","AOM_AanvraagWmoJeugd","","Class","{BE7C28C6-0922-4c6a-A953-3D598D991AB5}","","Generiek Jeugd en Wmo","Data object","","id-be7c28c6-0922-4c6a-a953-3d598d991ab5","","","","28062023-11:06:06"
"52","AOM_MeldingWmoJeugd","","Class","{0FA25A4F-DF7F-4feb-9460-19D054E874F8}","","Generiek Jeugd en Wmo","Data object","","id-0fa25a4f-df7f-4feb-9460-19d054e874f8","","","","28062023-11:06:06"
"53","AOMstatus","","Class","{FDEB42B6-5D93-46bf-9B5C-10F42BA4AC26}","","Vergunningverlening, Toezicht en Handhaving","Data object","","id-fdeb42b6-5d93-46bf-9b5c-10f42ba4ac26","","","","28062023-11:06:06"
"54","APPARTEMENTSRECHT","Een KADASTRALE ONROERENDE ZAAK dat een aandeel is in de 
goederen die in de splitsing zijn betrokken, dat de bevoegdheid omvat tot het uitsluitend gebruik van bepaalde gedeelten van het gebouw die blijkens hun inrichting bestemd zijn of worden om als afzonderlijk geheel te worden 
gebruikt (art. 5:106 lid 4 BW).","Class","{869E0A04-A663-4839-970D-7FB82DF6C317}","https://www.gemmaonline.nl/index.php/Informatiemodel_Basis-_en_Kerngegevens_(RSGB)","RSGB Model","Business object","","id-869e0a04-a663-4839-970d-7fb82df6c317","","","","28062023-11:06:06"
"55","APPARTEMENTSRECHTSPLITSING","Het recht op een stuk grond of op een gebouw met toebehoren op de daarbij behorende grond met toebehoren is gesplitst in appartementsrechten.","Class","{C1542AC8-2F3C-4e62-ADFA-A9FB3358DAB1}","https://www.gemmaonline.nl/index.php/Informatiemodel_Zaken_(RGBZ)","RSGB Model","Business object","","id-c1542ac8-2f3c-4e62-adfa-a9fb3358dab1","","","","28062023-11:06:06"
"56","Applicatie","Een applicatiecomponent die gericht is op het ondersteunen van eindgebruikers.","Class","{A8945FD7-EA20-418e-8E7F-18F13F16E338}","https://begrippen.archixl.nl/archixl/nl/page/Applicatie","ICT","Business object","","id-a8945fd7-ea20-418e-8e7f-18f13f16e338","","","","28062023-11:06:06"
"57","Applicatiecategorie","","Enumeration","{A030D866-E2E7-4854-ACFD-C62DB3ABDA38}","","ICT","Data object","","id-a030d866-e2e7-4854-acfd-c62db3abda38","","","","28062023-11:06:06"
"58","Archeologiebesluit","Een professioneel oordeel dat gebaseerd is op algemeen aanvaarde wetenschap ten aanzien van de archeologie","Class","{836E51BF-65E9-4482-B555-C9AB737D264D}","","Erfgoed: Archeologie","Data object","","id-836e51bf-65e9-4482-b555-c9ab737d264d","","","","28062023-11:06:06"
"59","Archief","De bewaarplaats van belangrijke gegevens die zijn vastgelegd in documentvorm alsook de verzameling van documenten die voor een bepaald doel vervaardigd zijn.","Class","{E09E5B44-4D39-455a-B0A5-390A63AC0C43}","","Erfgoed: Archief","Business object","","id-e09e5b44-4d39-455a-b0a5-390a63ac0c43","","","","28062023-11:06:06"
"60","Archiefcategorie","Typologie van een archief conform landelijke indeling","Class","{66DB38CC-932D-462c-9791-C60237EA9B7A}","","Erfgoed: Archief","Data object","","id-66db38cc-932d-462c-9791-c60237ea9b7a","","","","28062023-11:06:06"
"61","Archiefstuk","Bijeengebrachte informatie, ongeacht het medium, die wordt gecre√´erd, ontvangen en gearchiveerd door een bureau, een instelling, een organisatie of een individu met het oog op het nakomen van wettelijke verplichtingen of het uitvoeren van zakelijke transacties.(AAT)","Class","{369E453B-4C3A-48dc-9619-C36232B339D9}","","Erfgoed: Archief","Business object","","id-369e453b-4c3a-48dc-9619-c36232b339d9","Archiefbescheiden","","","28062023-11:06:06"
"62","Areaal","Het verspreidingsgebied van een een soort, een levensgemeenschap of een biotooptype.","Class","{9507EE24-6397-4a9c-B478-8C2899EC0BFB}","","Ruimte","Business object","","id-9507ee24-6397-4a9c-b478-8c2899ec0bfb","Verspreidingsgebied","","","28062023-11:06:06"
"63","Artefact","De benaming voor ieder verplaatsbaar object dat door de mens is vervaardigd, bewerkt en/of gebruikt. ","Class","{2C230EE7-036D-48be-B82A-FF45598170F7}","https://thesaurus.cultureelerfgoed.nl/concept/cht:bc706712-3738-462b-8c8c-a0befff10ff5/nl","Erfgoed: Archeologie","Business object","","id-2c230ee7-036d-48be-b82a-ff45598170f7","artefacten, voorwerp, voorwerpen","","","28062023-11:06:06"
"64","Artefactsoort","Typering van artefacten","Class","{67CF25EB-EBB0-4185-8171-1F9DD3B5D212}","","Erfgoed: Archeologie","Data object","","id-67cf25eb-ebb0-4185-8171-1f9dd3b5d212","","","","28062023-11:06:06"
"65","Artikel","Tekst die is gemaakt om gepubliceerd te worden als een onafhankelijk deel van een tijdschrift, krant, encyclopedie of ander werk","Class","{F38E71BC-DDA2-4a9c-A438-C486EC4C4646}","","Dienstverlening","Business object","","id-f38e71bc-dda2-4a9c-a438-c486ec4c4646","","","","28062023-11:06:06"
"66","Attribuutsoort","<b>Attribuutsoort </b>– <i>Stereotype «Attribuutsoort»</i>: De UML-representatie van een attribuutsoort, uitgedrukt in een stereotype van UML-Property<sup>3 </sup>(metaclass).
Er zijn verschillende modelelementen die gebaseerd zijn op UML-property, zoals aangegeven in §2.1.2. Wanneer een UML-property in het informatiemodel de betekenis heeft van een attribuut van een objecttype, dan heeft deze het stereotype «Attribuutsoort».
Een attribuutsoort is een type van gelijksoortige attributen of gegevens. Daartoe kijken we eerst naar het begrip ‘gegeven’.
","Class","{8D273DE5-3529-4652-BCA1-F86B28F26017}","https://docs.geostandaarden.nl/mim/mim/#attribuutsoort","ICT","Data object","","id-8d273de5-3529-4652-bca1-f86b28f26017","Attribuut","","","28062023-11:06:06"
"67","Auteur","De persoon die verantwoordelijk is voor de inhoud van een (digitaal) document","Class","{BCAFBBCD-851E-4235-9D85-88EC71F2245B}","","Erfgoed: Archief","Business object","","id-bcafbbcd-851e-4235-9d85-88ec71f2245b","","","","28062023-11:06:06"
"68","AUTORITEIT AFGIFTE NEDERLANDS REISDOCUMENT","Een opsomming van de diverse coderingen van de autoriteiten die een Nederlands reisdocument kunnen afgegeven ","Class","{E36F8A4C-C487-40ec-9D4F-4FDF5DCED461}","","Referentielijsten","Business object","","id-e36f8a4c-c487-40ec-9d4f-4fdf5dced461","","","","28062023-11:06:06"
"69","BAGObjectnummering","Unieke objectaanduiding van een object uit de BAG binnen een gemeente.","DataType","{AB8B30D0-FD1F-4c44-9396-BB05389EA20B}","","Complex datatype","Data object","","id-ab8b30d0-fd1f-4c44-9396-bb05389ea20b","","","","28062023-11:06:06"
"70","Bak","Object met een permanent karakter dat dient om iets in te bergen of te verzamelen. (bron: definities.geostandaarden.nl)
Synoniemen: Bak","Class","{6B54FE2F-9897-47DA-863C-5A931E89B2D}","","Ruimte","Business object","","id-6b54fe2f-9897-47da-863c-5a931e89b2d","","","","28062023-11:06:06"
"71","Balieafspraak","Balieafspraken zijn afspraken voor een klantcontact. Dit ongeacht of deze werkelijk heeft plaatsgevonden of gaat plaatsvinden, soms liggen deze in de toekomst of is iemand niet op komen dagen, of iets anders waardoor het klantcontact nog niet heeft plaatsgevonden.","Class","{631FEEF1-88D3-4d18-ADB2-BF999068493E}","","Dienstverlening","Business object","Dit ongeacht of deze werkelijk heeft plaatsgevonden of gaat plaatsvinden, soms liggen deze in de toekomst of is iemand niet op komen dagen, of iets anders waardoor het klantcontact nog niet heeft plaatsgevonden.","id-631feef1-88d3-4d18-adb2-bf999068493e","","","","28062023-11:06:06"
"72","Balieverkoop","Verkoop aan de balie","Class","{EA2D32A2-5ED5-45c8-AC33-57C35981B3BC}","","Museum Prinsenhof","Business object","","id-ea2d32a2-5ed5-45c8-ac33-57c35981b3bc","","","","28062023-11:06:06"
"73","Balieverkoop Entreekaart","Verkoop van een entreekaart aan de balie","Class","{90E24064-EBB7-4ffc-9640-F7C31678899F}","","Museum Prinsenhof","Business object","","id-90e24064-ebb7-4ffc-9640-f7c31678899f","","","","28062023-11:06:06"
"74","Bank","Aaneengesloten zitplaats voor verscheidene personen, bedoeld voor openbaar gebruik en geplaatst in de openbare ruimte (vnl. in parken, plantsoenen, bossen en langs wegen).","Class","{83F95133-4D59-4B1F-B5DD-6055DA2C007}","","Ruimte","Business object","","id-83f95133-4d59-4b1f-b5dd-6055da2c007","","","","28062023-11:06:06"
"75","Bankafschrift","Overzicht van de bij- en afschrijvingen van een rekening","Class","{FC698CC3-7A64-4991-A751-B3B2A5DF77E3}","","Financien","Data object","","id-fc698cc3-7a64-4991-a751-b3b2a5df77e3","","","","28062023-11:06:06"
"76","Bankafschriftregel","Een item op het bankafschrift","Class","{764CE125-55C1-480d-90BA-745484CF3FC0}","","Financien","Data object","","id-764ce125-55c1-480d-90ba-745484cf3fc0","","","","28062023-11:06:06"
"77","Bankrekening","Een rekening-courant bij een bank","Class","{D87012E0-D2EB-4333-AD6C-1E43E6857304}","","Financien","Business object","","id-d87012e0-d2eb-4333-ad6c-1e43e6857304","","","","28062023-11:06:06"
"78","Batch","Verzameling van posten die in het kader van automatische verwerking een logisch geheel vormen. ","Class","{A784A0ED-4451-4a92-B7C8-ABE528BA898F}","","Financien","Business object","Bijvoorbeeld alle betalingen die op een dag ter verwerking in de computers aangeboden worden.","id-a784a0ed-4451-4a92-b7c8-abe528ba898f","","","","28062023-11:06:06"
"79","Batchregel","Een item uit een batch","Class","{9F935C8B-5B7C-4ce4-9360-04A91F4F70CC}","","Financien","Business object","","id-9f935c8b-5b7c-4ce4-9360-04a91f4f70cc","","","","28062023-11:06:06"
"80","Bebouwingspercentage","het in procenten uitgedrukte deel van een bouwwerkperceel dat ten hoogste mag worden bebouwd","","","","","Business object","","ceb2754c-2b4e-4801-a318-9e787c5a01ff","","","","28062023-11:06:06"
"81","Bed and breakfast","het bieden van de ten opzichte van het hoofdgebruik ondergeschikte mogelijkheid tot recreatief nachtverblijf en ontbijt aan personen die hun hoofdverblijf elders hebben","","","","","Business object","","id-1f6cd53e-1116-4ce6-9233-4661e0658adb","","","","28062023-11:06:06"
"82","Bedrijfsactiviteit","een onderneming gericht op het produceren, bewerken, herstellen, installeren of inzamelen van goederen, evenals verhuur, opslag en distributie van goederen en eventueel ondergeschikte detailhandel","","","","","Business object","","f5027c51-1fc5-4455-85b5-a0fb00771185","","","","28062023-11:06:06"
"83","Bedrijfswoning","een woning in of bij een gebouw of op een terrein kennelijk slechts bedoeld voor het huishouden van een persoon wiens huisvesting daar gelet op de functie van het gebouw of het terrein noodzakelijk is","","","","","Business object","","id-38bf7c7c-d03f-499f-8135-fb348c32d994","","","","28062023-11:06:06"
"84","BEGROEID TERREINDEEL","Kleinste functioneel onafhankelijk stukje van een terrein dat er binnen het objecttype Terrein van NEN 3610 wordt onderscheiden, met aaneengesloten homogene vegetatie.","Class","{D872C213-09D7-4dca-A020-EA363480FC7D}","https://www.gemmaonline.nl/index.php/Informatiemodel_Basis-_en_Kerngegevens_(RSGB)","RSGB Model","Business object","","id-d872c213-09d7-4dca-a020-ea363480fc7d","","","","28062023-11:06:06"
