nr,GEMMA-naam,GGM-naam,GEMMA-guid,GGM-guid,GEMMA-type,GGM-uml-type,GEMMA-definitie,GGM-definitie,GEMMA-toelichting,GGM-toelichting,GEMMA-source-guid,GGM-source-guid,GEMMA-target-guid,GGM-target-guid,Datum-tijd-export
624,betreft,betreft,bd439ef0-ffc3-485c-a2eb-f3378baa3eff,{DAB8A69C-0150-4f78-80B4-BBDF25BD0734},association-relationship,Association,,,,,ae658af8-46be-4d41-ba95-c5e24cec7598,{9E0936E5-6B50-4205-BA5D-FEB80486D6F1},e5293eea-47b8-4091-8ac3-b28139a17c9f,{27219A32-3B52-4f54-AA67-A972F4B7D9D0},18062026-11:55:11
625,betreft,betreft,2259c4d9-46a4-4557-94b7-06d240b3c1ad,{A1D9E6C1-5A66-4cf7-A381-6BB023BAF9D8},association-relationship,Association,,,,,ae658af8-46be-4d41-ba95-c5e24cec7598,{9E0936E5-6B50-4205-BA5D-FEB80486D6F1},b083bd60-0137-40b0-ad72-4602b3c1d754,{6AD98160-FFE6-4105-A724-5D5733C87CD8},18062026-11:55:11
626,komt voort uit,komt voort uit,02f61f8f-0b0f-4b73-a524-2ab1db86f712,{DFD415FA-8E2B-40c0-ACC5-9FAE27393B25},association-relationship,Association,,,,,078d57f3-e8a0-485e-a175-c1b3de49eee0,{653EEEA7-ED82-427d-BD72-86C847793AD6},d10d2101-2e16-4f56-bcce-43783fd256be,{4957AC99-3F36-4959-A210-9EC6759B87F8},18062026-11:55:11
627,,betreft voertuig,,{D16E2EF9-1913-44f1-8479-F9C3AD43E98F},,Association,,,,,,{4EA4D754-FAD7-4caf-8060-342689EC16FE},,{6AD98160-FFE6-4105-A724-5D5733C87CD8},18062026-11:55:11
628,leverancier,leverancier,d2807ad4-d168-4323-8133-3b116c52470c,{FA794E49-670B-4071-9AB0-16EE0E2BB363},association-relationship,Association,,,,,ae658af8-46be-4d41-ba95-c5e24cec7598,{9E0936E5-6B50-4205-BA5D-FEB80486D6F1},59bf814b-1020-4906-978b-ca22af2eecc0,{6C283ABA-C1A3-465b-B267-39E75D06E41F},18062026-11:55:11
629,betreft,betreft,216b09f0-92e6-44ce-8012-62363c23092c,{E9EAACB4-682A-43eb-8CAA-E7536337D9AE},association-relationship,Association,,,,,44f31c7d-6347-4e52-a809-c48563f4b7f1,{E9AEF0A9-11BC-4d2a-BC48-FB77F04EF9A6},f08625cc-cc49-4664-91fa-823b217d333f,{91F9D39E-0322-42c6-AE7F-5027B36F3EC3},18062026-11:55:11
630,heeft,heeft,09ed04b5-b142-4606-8fb7-d5301c08cc20,{564051E6-A5BA-44c2-9AC4-E2E84198168B},association-relationship,Association,,,,,44f31c7d-6347-4e52-a809-c48563f4b7f1,{E9AEF0A9-11BC-4d2a-BC48-FB77F04EF9A6},b285df90-a239-4757-b78e-a281744f89cb,{7FE4B466-B051-4068-9ED1-6E60C3B2DBAD},18062026-11:55:11
631,heeft,heeft,7f6c035c-f8a5-4acc-81e8-e3829811ca08,{F9EED8C4-63F8-409b-8B6C-1CD783D7A903},association-relationship,Association,,,,,b7161d86-f784-418b-9a78-48662d3dc83b,{341942C1-0F72-4e13-ADD1-235805BB81C0},0080f5e8-d0d2-4a34-816d-24c8ec6b185a,{88AF7A2E-C508-464a-AD22-DD9B156D570D},18062026-11:55:11
632,,heeft,,{7BBFA897-6852-412c-926B-E156B7A48C23},,Association,,,,,,{341942C1-0F72-4e13-ADD1-235805BB81C0},,{E2B83F97-FDFD-4876-9E66-23D79D4A4C03},18062026-11:55:11
633,,Heeft,,{FA102DCE-9AB3-46cb-9715-340B3A43ACDD},,Association,,,,,,{0DB447E3-B31B-4f07-8E35-7E77D0AAEF80},,{88AF7A2E-C508-464a-AD22-DD9B156D570D},18062026-11:55:11
634,,heeft,,{F473FC6F-A3A3-4fb0-84E8-46E74F004E84},,Association,,,,,,{0DB447E3-B31B-4f07-8E35-7E77D0AAEF80},,{03B4B3C0-3616-4ea2-A8B1-3D6754325F02},18062026-11:55:11
635,,Heeft,,{04849139-9FA5-4487-B037-ABFDB627C473},,Association,,,,,,{03B4B3C0-3616-4ea2-A8B1-3D6754325F02},,{88AF7A2E-C508-464a-AD22-DD9B156D570D},18062026-11:55:11
636,is van,is van,bae5bccc-6ebe-4f12-8360-9892b4c57855,{D5B590DA-28E1-4b12-8C69-F16AF4B9ADD7},association-relationship,Association,,,,,ce320796-17d5-4134-ade8-7b87211272dd,{7F9392E5-6E43-4880-AF14-819E32A86204},0080f5e8-d0d2-4a34-816d-24c8ec6b185a,{88AF7A2E-C508-464a-AD22-DD9B156D570D},18062026-11:55:11
637,,betreft,,{454A71AF-5181-44da-A750-0883C39F734D},,Association,,,,,,{E2B83F97-FDFD-4876-9E66-23D79D4A4C03},,{0E4A8F94-ED08-43dc-9F78-C9DD17D34690},18062026-11:55:11
