nr,GEMMA-naam,GGM-naam,GEMMA-guid,GGM-guid,GEMMA-type,GGM-uml-type,GEMMA-definitie,GGM-definitie,GEMMA-toelichting,GGM-toelichting,GEMMA-source-guid,GGM-source-guid,GEMMA-target-guid,GGM-target-guid,Datum-tijd-export
0,mondt uit in,mondt uit in,85f0a234-96e8-48bb-8417-0809a7c7d186,{B6963309-6A66-4c0f-A90A-C36C517ED4AC},association-relationship,Association,,,,,32052c54-e099-47e7-8ded-599537226dfa,{EEB60E10-C244-4176-AB68-F0E30759269F},a9cb919f-a224-4ab5-9825-40d54104f90d,{A3DAD553-0E55-4256-824B-CDB5E12CB545},18062026-11:55:11
1,,heeft,,{E471ACCA-15CE-4b2e-83BE-301BF0407150},,Association,,,,,,{EEB60E10-C244-4176-AB68-F0E30759269F},,{D8A82A45-03C3-44d5-AF32-3138A55B2E75},18062026-11:55:11
2,heeft,heeft,d9faeb90-03b7-4cad-8ae1-39c540baf079,{E13676F2-69CF-4caa-8667-41E5E65FE315},association-relationship,Association,,,,,c604ce01-282e-4d1a-ade9-d1a4c1938f4e,{48FE13A9-2204-4631-BAEE-E2D3B10E9A2D},32052c54-e099-47e7-8ded-599537226dfa,{EEB60E10-C244-4176-AB68-F0E30759269F},18062026-11:55:11
3,heeft,heeft,b69065f9-a1a7-45d6-a52a-3eb38626a5c2,{29BC6916-A8BA-4b0f-A710-D461C86FE7E0},association-relationship,Association,,,,,c604ce01-282e-4d1a-ade9-d1a4c1938f4e,{48FE13A9-2204-4631-BAEE-E2D3B10E9A2D},a9cb919f-a224-4ab5-9825-40d54104f90d,{A3DAD553-0E55-4256-824B-CDB5E12CB545},18062026-11:55:11
4,hoofdonderwerp,hoofdonderwerp,54b64aa5-5c9f-42ea-a6a6-7bb8b7fea307,{D378AE75-A54F-4dbd-A673-D6DFAF7CAD9F},association-relationship,Association,,,,,bc793405-f822-4a23-a8dc-74206f1d45df,{8D758F67-6085-4ac7-BFDC-8D97AB632A93},bc793405-f822-4a23-a8dc-74206f1d45df,{8D758F67-6085-4ac7-BFDC-8D97AB632A93},18062026-11:55:11
5,,heeft,,{75DA4113-4927-43d1-A910-B2ECE6D51B65},,Association,,,,,,{4B871112-CB41-4bfb-BD43-117C63D31BB4},,{881F95F7-7096-49ab-B1CA-4D9FA93BB4A9},18062026-11:55:11
6,,heeft,,{F56EF6BD-D1C5-48fc-80AC-EF42CD79FCC8},,Association,,,,,,{881F95F7-7096-49ab-B1CA-4D9FA93BB4A9},,{40394EFE-AD3E-4fd9-B9FC-AF73442AF625},18062026-11:55:11
7,,heeft velden,,{FA630ACF-77F6-47a2-93B4-8FB6A9DF9A91},,Association,,,,,,{0567826D-81EE-4bbd-8D62-3073B74CDF11},,{E512AEFD-85FB-4b57-82FE-709221307861},18062026-11:55:11
8,,is aanleiding voor,,{0A5CA34A-9326-497e-ADC3-38787D073F36},,Association,,,,,,{0567826D-81EE-4bbd-8D62-3073B74CDF11},,{7210A379-17EE-4143-A106-ECD9414B2A0D},18062026-11:55:11
9,locatie,locatie,4576bfea-bc77-4944-9b3b-e4431f709bbc,{EB9B83F5-23DD-4cc8-B65A-EED41272722B},association-relationship,Association,,,,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,{631FEEF1-88D3-4d18-ADB2-BF999068493E},bb257165-3229-4e5f-a24c-524966c748f5,{D8142B98-64CB-408e-9941-92423543F08A},18062026-11:55:11
10,betreft,betreft,fdfbc123-1267-433a-91b0-30e9f86bfcb9,{DF44DEC9-F13A-4274-AA28-A1A1851B2B01},association-relationship,Association,,,,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,{631FEEF1-88D3-4d18-ADB2-BF999068493E},724f019e-158f-4404-8b57-3e1eae109fec,{4B871112-CB41-4bfb-BD43-117C63D31BB4},18062026-11:55:11
11,heeft betrekking op,heeft betrekking op,c9f5eee0-30d3-4a1c-8137-7956f1429e41,{D1F86572-708B-42f8-B095-789694BB8DCB},association-relationship,Association,,,,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,{631FEEF1-88D3-4d18-ADB2-BF999068493E},7d5124d4-f23d-432d-ad5a-dc7c1b0fac44,{649EFD86-ED52-4293-8577-DBE5445845BF},18062026-11:55:11
12,met,met,bb3c999d-f81f-4b64-8f29-b35a497ecd5a,{8E658E97-A6B3-4c06-9C40-20A059C06BBD},association-relationship,Association,,,,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,{631FEEF1-88D3-4d18-ADB2-BF999068493E},6cc6afe6-e4c6-4e2b-a359-f278b23700db,{16EB3936-03CB-4854-9CD8-9F0911EEA51B},18062026-11:55:11
13,mondt uit in,mondt uit in,6fbfcdbc-67e9-41c3-9e39-010647ac56cc,{744D06AC-B194-446e-8B69-DE9DED40C71B},association-relationship,Association,,,,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,{631FEEF1-88D3-4d18-ADB2-BF999068493E},a9cb919f-a224-4ab5-9825-40d54104f90d,{A3DAD553-0E55-4256-824B-CDB5E12CB545},18062026-11:55:11
14,heeft,heeft,2db4f725-61b4-4fec-8940-07c387d7438f,{CCA3BF1D-D8A1-4c6d-8FFC-FB82A807A944},association-relationship,Association,,,,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,{631FEEF1-88D3-4d18-ADB2-BF999068493E},93731fcf-2b7f-42f2-9f94-6f6f80ce0067,{5AA9821A-A88A-480b-9950-70FE017593B3},18062026-11:55:11
15,melder,melder,166bc98d-c784-450e-877b-bedb8bff4231,{D3F7C054-B676-41e3-B470-1FD8BFAFB232},association-relationship,Association,,,,,f14fa1cf-f2c7-4bd6-862d-28ff1616a882,{8E6BAEF8-1878-400f-9244-23575BD41EAB},cad45b80-14d3-4a0c-a906-0c1614dc9570,{9DF5AC43-3673-4b9a-BB5E-6DCA7BE28835},18062026-11:55:11
16,heeft documenten,heeft documenten,3c5fa727-2a38-4b36-9401-5522473fdaf0,{BE9DCE55-00F0-4742-BAA8-DB992389C5C6},association-relationship,Association,,,,,f14fa1cf-f2c7-4bd6-862d-28ff1616a882,{8E6BAEF8-1878-400f-9244-23575BD41EAB},10eaa33f-03bf-42b4-9310-56add2cb5a7b,{5641C50A-C0FA-4e71-B07B-26C7B1CE94ED},18062026-11:55:11
17,,aanvraag met ,,{B6781FDB-E6F4-4ecb-B251-A072A105B0F2},,Association,,,,,,{8E6BAEF8-1878-400f-9244-23575BD41EAB},,{0567826D-81EE-4bbd-8D62-3073B74CDF11},18062026-11:55:11
18,kan leiden tot,kan leiden tot,1c461660-a8c0-49bd-b07a-087f0a71ec18,{87F9EA19-0A1D-4c3f-ADCA-C8F48F216312},association-relationship,Association,,,,,f14fa1cf-f2c7-4bd6-862d-28ff1616a882,{8E6BAEF8-1878-400f-9244-23575BD41EAB},7d5124d4-f23d-432d-ad5a-dc7c1b0fac44,{649EFD86-ED52-4293-8577-DBE5445845BF},18062026-11:55:11
19,betreft,betreft,4f6a9550-00bb-4570-aa25-7cb7d5aa2c97,{2762907E-CC1E-49e9-B376-C8F36F3A2EA0},association-relationship,Association,,,,,f14fa1cf-f2c7-4bd6-862d-28ff1616a882,{8E6BAEF8-1878-400f-9244-23575BD41EAB},bc793405-f822-4a23-a8dc-74206f1d45df,{8D758F67-6085-4ac7-BFDC-8D97AB632A93},18062026-11:55:11
20,heeft data,heeft data,f8b92c03-04c1-4a92-8d04-00513cc8e2d1,{33411F61-D155-49df-9D6B-C945FDA65DF7},association-relationship,Association,,,,,f14fa1cf-f2c7-4bd6-862d-28ff1616a882,{8E6BAEF8-1878-400f-9244-23575BD41EAB},6f15e2ca-531d-4879-b087-f43559d8c3fd,{1F68C981-7E16-4368-8867-CA00AEB08A04},18062026-11:55:11
21,,is conform,,{90D3BEFB-53DD-4577-ADC1-43654BC665DD},,Association,,,,,,{1F68C981-7E16-4368-8867-CA00AEB08A04},,{E512AEFD-85FB-4b57-82FE-709221307861},18062026-11:55:11
22,,betreft,,{03A7ECAA-181B-496d-A6F8-4C06D3F742F3},,Association,,,,,,{7694A657-22D8-4b00-AAE2-A78EF014B43A},,{649EFD86-ED52-4293-8577-DBE5445845BF},18062026-11:55:11
23,ingediend door,ingediend door,999891d7-9b4a-4e56-9958-48235696914a,{8E6F2106-48ED-4640-8D57-232E09A4B65F},association-relationship,Association,,,,,6d31df7d-b7f9-4f50-be9f-eaf05c697f6e,{BF21FFA3-3EA6-410a-BC65-7BE5547646B6},113af80a-7e3e-41f6-8f79-8d0d48c4c257,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},18062026-11:55:11
24,gericht aan,gericht aan,74d8a9ff-91f7-419e-a78d-86de0f668751,{6F34B2D2-6257-4faa-87EE-E38F35C9B1A0},association-relationship,Association,,,,,1b3c3c06-c7e9-40c0-8fa1-dbbc3c23152f,{1EF1AC66-9563-4cdd-AE78-0878D651907A},113af80a-7e3e-41f6-8f79-8d0d48c4c257,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},18062026-11:55:11
25,gericht aan,gericht aan,e15e61bc-8b8f-4744-88fd-577d54c6c3d4,{235922D5-16F9-4ecb-A43A-0E2D7BE8D5DC},association-relationship,Association,,,,,16b98915-5c5e-4933-bfc0-9db634c47acb,{BB182A6F-6935-4702-ABEA-B96E32A40B02},113af80a-7e3e-41f6-8f79-8d0d48c4c257,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},18062026-11:55:11
26,,heeft,,{05D2D9C8-7433-4221-9EEF-612ACFFDC656},,Association,,,,,,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},,{AB2AED85-D2B0-45cf-9B1F-C6005E894494},18062026-11:55:11
27,biedt aan,biedt aan,fce13803-a978-44a4-a6dc-ab370f379522,{6918E1EE-EC2B-45c6-BC35-693CEB3C30F1},association-relationship,Association,,,,,113af80a-7e3e-41f6-8f79-8d0d48c4c257,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},dc97ebf4-61ee-47f6-a108-af6bb4a276f7,{75B4E818-5ECD-45c5-98F9-66F57FC6117E},18062026-11:55:11
28,betreft,betreft,3628d67c-ee2c-471e-9f77-1c842f86aced,{C5DF9BC2-DA59-4e82-942B-E27F2E5E1E3F},association-relationship,Association,,,,,dc97ebf4-61ee-47f6-a108-af6bb4a276f7,{75B4E818-5ECD-45c5-98F9-66F57FC6117E},cd27cd50-1721-4870-a292-ea0f24d1ada4,{9F4E12E4-B228-4931-AC83-1B1F60958A89},18062026-11:55:11
29,heeft,heeft,8623ad16-4105-4638-af96-741cd94330a2,{044ACFF3-A63F-4745-9BFB-CD7E5CB1A797},association-relationship,Association,,,,,113af80a-7e3e-41f6-8f79-8d0d48c4c257,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},e1c425c1-a3fe-4144-907d-13da8d9fb5cc,{2902E8D6-FF16-45d6-A0A4-47E2857D2D19},18062026-11:55:11
30,inhuur,inhuur,e9be552e-c164-4ba0-8136-f23ddde27b9f,{BD37E6F0-5FCB-43c2-A915-1C3F4F2D8CE0},association-relationship,Association,,,,,70e40543-6a99-433d-8a01-f4273e308410,{3FB9B466-D147-42d7-99D1-2D14A007D16C},6cc6afe6-e4c6-4e2b-a359-f278b23700db,{16EB3936-03CB-4854-9CD8-9F0911EEA51B},18062026-11:55:11
31,betreft,betreft,a5e04d34-9328-40d5-a917-cbf669112aad,{B59891C6-BF26-4dd2-8455-7F84D5AB50E7},association-relationship,Association,,,,,70e40543-6a99-433d-8a01-f4273e308410,{3FB9B466-D147-42d7-99D1-2D14A007D16C},6d31df7d-b7f9-4f50-be9f-eaf05c697f6e,{BF21FFA3-3EA6-410a-BC65-7BE5547646B6},18062026-11:55:11
32,betreft,betreft,5bfd6453-e34b-48af-b33e-38dc69f73d37,{2412AD35-118A-4a10-92A6-B4381CC94130},association-relationship,Association,,,,,70e40543-6a99-433d-8a01-f4273e308410,{3FB9B466-D147-42d7-99D1-2D14A007D16C},dc97ebf4-61ee-47f6-a108-af6bb4a276f7,{75B4E818-5ECD-45c5-98F9-66F57FC6117E},18062026-11:55:11
33,betreft,betreft,ac51e9d3-5d75-49c8-983f-93748968cb24,{096607E3-510B-4140-8B76-A4F249EF45D4},association-relationship,Association,,,,,70e40543-6a99-433d-8a01-f4273e308410,{3FB9B466-D147-42d7-99D1-2D14A007D16C},e1c425c1-a3fe-4144-907d-13da8d9fb5cc,{2902E8D6-FF16-45d6-A0A4-47E2857D2D19},18062026-11:55:11
34,,betreft,,{DE937028-151F-4bb6-B28A-4C0F5C7155C4},,Association,,,,,,{1D87490A-9F07-424f-BE6F-5E9C11376B05},,{16EB3936-03CB-4854-9CD8-9F0911EEA51B},18062026-11:55:11
35,,ingehuurd via,,{62481646-A5FD-404a-8716-91401BCA31F5},,Association,,,,,,{1D87490A-9F07-424f-BE6F-5E9C11376B05},,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},18062026-11:55:11
36,,aanvrager,,{020F2F9A-BDA8-40a3-8E83-85752A9D1CE7},,Association,,,,,,{1D87490A-9F07-424f-BE6F-5E9C11376B05},,{16EB3936-03CB-4854-9CD8-9F0911EEA51B},18062026-11:55:11
37,,aanvrager,,{CD6BDEB3-A2D0-48e6-9AF3-9269C7BAD5AB},,Association,,,,,,{B598FF22-CDD0-486f-B528-99421D0FA608},,{16EB3936-03CB-4854-9CD8-9F0911EEA51B},18062026-11:55:11
38,,heeft,,{EA2C3BC9-E303-4c1f-BF27-F0CBF17570AA},,Association,,,,,,{170AF8F5-8952-407a-91C4-EAF910DE3304},,{6A4CF470-3B0E-4141-9DB6-C9E8A525CB49},18062026-11:55:11
39,contractant,contractant,f2d16b20-b9cc-4a0e-bcec-bc6f6871128e,{A4596611-218A-45df-8EF8-096FCCD8114A},association-relationship,Association,,,,,113af80a-7e3e-41f6-8f79-8d0d48c4c257,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},f96af00f-2933-42d0-aacf-58ccb4a0ef52,{9FBF9FB8-B28D-4733-8443-607B8498F446},18062026-11:55:11
40,bovenliggend,bovenliggend,48a1e083-5ac5-4171-bdb4-46aae9660315,{E09C6849-4665-4bfe-83BA-D220F55E1139},association-relationship,Association,,,,,f96af00f-2933-42d0-aacf-58ccb4a0ef52,{9FBF9FB8-B28D-4733-8443-607B8498F446},f96af00f-2933-42d0-aacf-58ccb4a0ef52,{9FBF9FB8-B28D-4733-8443-607B8498F446},18062026-11:55:11
41,,gekwalificeerd,,{82CD954D-A9E0-4405-BE91-C15C3F01E6D6},,Association,,,,,,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},,{6CA060D0-C5AC-4b50-8B64-00DCAEA7EF48},18062026-11:55:11
42,ingediend bij,ingediend bij,f70c9b47-eb69-466d-afdf-793e6e116bda,{EBC91C89-CF15-49bc-A3BF-05673D182F65},association-relationship,Association,,,,,8d9233d7-dfb9-4b87-bab2-61631a632f95,{33E5EA10-F43A-4966-B9C1-875F0E2C1B52},6cc6afe6-e4c6-4e2b-a359-f278b23700db,{16EB3936-03CB-4854-9CD8-9F0911EEA51B},18062026-11:55:11
43,betreft,betreft,7c583f92-a397-49ba-b8dd-acc753847e78,{8A886AB2-1EDA-4982-8EAD-4C7AC3A10631},association-relationship,Association,,,,,8d9233d7-dfb9-4b87-bab2-61631a632f95,{33E5EA10-F43A-4966-B9C1-875F0E2C1B52},f96af00f-2933-42d0-aacf-58ccb4a0ef52,{9FBF9FB8-B28D-4733-8443-607B8498F446},18062026-11:55:11
44,afgehandeld door,afgehandeld door,d14fb27b-f5c5-4430-8f41-09a57bb739ce,{6E0A612D-3FC1-4e4e-A882-307582C17A80},association-relationship,Association,,,,,8d9233d7-dfb9-4b87-bab2-61631a632f95,{33E5EA10-F43A-4966-B9C1-875F0E2C1B52},02f66265-00ae-418d-8d0e-dcbaf36652bb,{936A4E8B-3E5A-44b6-8A5D-EFB39F83FB6D},18062026-11:55:11
45,betreft,betreft,6f845748-5708-41c1-b6cc-8aca03f052b3,{58461ED6-0889-4b28-8140-C1C120592AEE},association-relationship,Association,,,,,8d9233d7-dfb9-4b87-bab2-61631a632f95,{33E5EA10-F43A-4966-B9C1-875F0E2C1B52},113af80a-7e3e-41f6-8f79-8d0d48c4c257,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},18062026-11:55:11
46,afhandeling,afhandeling,0818c5ce-ebf4-4d2e-aaec-31bdc36980ee,{4ADD200D-6946-4adb-8500-FBB1F6291E81},association-relationship,Association,,,,,8d9233d7-dfb9-4b87-bab2-61631a632f95,{33E5EA10-F43A-4966-B9C1-875F0E2C1B52},7d5124d4-f23d-432d-ad5a-dc7c1b0fac44,{649EFD86-ED52-4293-8577-DBE5445845BF},18062026-11:55:11
47,,mondt uit,,{B1AE1615-E4CD-4e14-B866-F6DD3F3837E8},,Association,,,,,,{7694A657-22D8-4b00-AAE2-A78EF014B43A},,{BB135B0E-A2C2-4681-BD91-30863F8B3D70},18062026-11:55:11
48,ingediend voor,ingediend voor,612cdcba-392c-4a8d-a499-44a5056672ce,{D92FDD25-BBD8-463d-B918-B7340DF94F75},association-relationship,Association,,,,,dc97ebf4-61ee-47f6-a108-af6bb4a276f7,{75B4E818-5ECD-45c5-98F9-66F57FC6117E},686c0af1-67b2-42a4-8690-060705617c13,{01D90490-C76A-444a-BFCE-355AFC5FB012},18062026-11:55:11
49,,mondt uit in,,{90C15984-859B-4665-A898-139D05C730D5},,Association,,,,,,{B598FF22-CDD0-486f-B528-99421D0FA608},,{01D90490-C76A-444a-BFCE-355AFC5FB012},18062026-11:55:11
50,betreft,betreft,740fda12-e8d2-4963-8697-927215369bdb,{263D659A-945D-42b7-97BB-2B96E51903C1},association-relationship,Association,,,,,16b98915-5c5e-4933-bfc0-9db634c47acb,{BB182A6F-6935-4702-ABEA-B96E32A40B02},686c0af1-67b2-42a4-8690-060705617c13,{01D90490-C76A-444a-BFCE-355AFC5FB012},18062026-11:55:11
51,,valt binnen,,{FC1D9123-E562-4fe4-9DE1-20ABD602CF8F},,Association,,,,,,{01D90490-C76A-444a-BFCE-355AFC5FB012},,{6CA060D0-C5AC-4b50-8B64-00DCAEA7EF48},18062026-11:55:11
52,eigenaar,eigenaar,cbcb071b-9016-48f4-bed5-65bb65ec2d6e,{BE6176A2-C180-4e8e-8CA5-83E21A1A70CC},association-relationship,Association,,,,,686c0af1-67b2-42a4-8690-060705617c13,{01D90490-C76A-444a-BFCE-355AFC5FB012},6cc6afe6-e4c6-4e2b-a359-f278b23700db,{16EB3936-03CB-4854-9CD8-9F0911EEA51B},18062026-11:55:11
53,valt onder,valt onder,b43ea15b-9e81-45ed-87a6-449f39943f80,{64ABE717-2D93-476f-8084-A98C90BCAAEC},association-relationship,Association,,,,,686c0af1-67b2-42a4-8690-060705617c13,{01D90490-C76A-444a-BFCE-355AFC5FB012},b6c26d6b-c773-4b50-ba03-a8463f23889a,{6A4CF470-3B0E-4141-9DB6-C9E8A525CB49},18062026-11:55:11
54,mondt uit,mondt uit,fc937909-60b9-495d-97df-905c3062d190,{27F22979-C7BD-47b1-B397-FB73EE85054D},association-relationship,Association,,,,,686c0af1-67b2-42a4-8690-060705617c13,{01D90490-C76A-444a-BFCE-355AFC5FB012},70e40543-6a99-433d-8a01-f4273e308410,{3FB9B466-D147-42d7-99D1-2D14A007D16C},18062026-11:55:11
55,valt onder,valt onder,95aef8ed-3cde-4d31-9790-8017fe070ec6,{FA4F75BB-DBC5-47b3-90F1-0AC75F94E634},association-relationship,Association,,,,,b6c26d6b-c773-4b50-ba03-a8463f23889a,{6A4CF470-3B0E-4141-9DB6-C9E8A525CB49},bc6f065d-05c9-454d-a18d-1c0c2a2dfe15,{44EC6082-2682-43c7-A52E-0AD05B06A046},18062026-11:55:11
56,betreft,betreft,c608f4f7-653d-4f98-b5e3-c246f6a77526,{DA41126D-D289-40bb-A36D-5625650CBE54},association-relationship,Association,,,,,e1c425c1-a3fe-4144-907d-13da8d9fb5cc,{2902E8D6-FF16-45d6-A0A4-47E2857D2D19},bc6f065d-05c9-454d-a18d-1c0c2a2dfe15,{44EC6082-2682-43c7-A52E-0AD05B06A046},18062026-11:55:11
57,betreft,betreft,47802cfa-db0a-4136-9baa-0b4324993dba,{D42EDBD0-1347-4dbc-9A17-DFA3B4144BD7},association-relationship,Association,,,,,6d31df7d-b7f9-4f50-be9f-eaf05c697f6e,{BF21FFA3-3EA6-410a-BC65-7BE5547646B6},bc6f065d-05c9-454d-a18d-1c0c2a2dfe15,{44EC6082-2682-43c7-A52E-0AD05B06A046},18062026-11:55:11
58,,mondt uit,,{CE4355D8-EE82-4ce4-8B5B-7BD4769AA44E},,Association,,,,,,{7694A657-22D8-4b00-AAE2-A78EF014B43A},,{44EC6082-2682-43c7-A52E-0AD05B06A046},18062026-11:55:11
59,mondt uit,mondt uit,3d7604c4-d4b4-46ec-a3e4-98cc21b3b3bf,{AD975BE9-A0DA-49e6-A0C4-9569996A120F},association-relationship,Association,,,,,11a5fd2d-0237-4e70-b859-d1e26456553b,{BB135B0E-A2C2-4681-BD91-30863F8B3D70},bc6f065d-05c9-454d-a18d-1c0c2a2dfe15,{44EC6082-2682-43c7-A52E-0AD05B06A046},18062026-11:55:11
60,betreft,betreft,47fe5c42-cf94-45d4-8de8-41981611afe4,{11E96BA6-1358-47d9-A851-0EDC29AA3E2A},association-relationship,Association,,,,,1b3c3c06-c7e9-40c0-8fa1-dbbc3c23152f,{1EF1AC66-9563-4cdd-AE78-0878D651907A},bc6f065d-05c9-454d-a18d-1c0c2a2dfe15,{44EC6082-2682-43c7-A52E-0AD05B06A046},18062026-11:55:11
61,,betreft,,{0BBACB1A-E170-478c-9E82-56E273D340A2},,Association,,,,,,{AB2AED85-D2B0-45cf-9B1F-C6005E894494},,{44EC6082-2682-43c7-A52E-0AD05B06A046},18062026-11:55:11
62,mondt uit,mondt uit,e9683428-726d-450e-b89a-43acaf704a13,{F4336DDB-05D3-439b-ACB5-62B9E010DA8A},association-relationship,Association,,,,,bc6f065d-05c9-454d-a18d-1c0c2a2dfe15,{44EC6082-2682-43c7-A52E-0AD05B06A046},70e40543-6a99-433d-8a01-f4273e308410,{3FB9B466-D147-42d7-99D1-2D14A007D16C},18062026-11:55:11
63,betreft,betreft,4392edc6-0e01-46c7-b50d-c1af0d497b85,{7E3E1D53-B929-4e16-946E-CFCC35BC2FD9},association-relationship,Association,,,,,bc6f065d-05c9-454d-a18d-1c0c2a2dfe15,{44EC6082-2682-43c7-A52E-0AD05B06A046},7d5124d4-f23d-432d-ad5a-dc7c1b0fac44,{649EFD86-ED52-4293-8577-DBE5445845BF},18062026-11:55:11
64,procesleider,procesleider,894753eb-de74-40da-b1a1-e2bf53672c11,{083C9CF6-C21B-46b3-A933-1DDAFA9F771F},association-relationship,Association,,,,,bc6f065d-05c9-454d-a18d-1c0c2a2dfe15,{44EC6082-2682-43c7-A52E-0AD05B06A046},6cc6afe6-e4c6-4e2b-a359-f278b23700db,{16EB3936-03CB-4854-9CD8-9F0911EEA51B},18062026-11:55:11
65,heeft verzuim,heeft verzuim,7b47f9d0-02cf-486b-a153-dfebe31b2f23,{7702C4F6-A0C5-44d0-9857-96B1F62FD27F},association-relationship,Association,,,,,8c200706-b80b-44f7-9928-bec39e0db21f,{BBBB63AC-B546-409b-B6D4-53DB561253B7},c024eb06-53f7-4793-91d6-6e249ee119dc,{610B18E6-B675-4cc0-A883-BAB9D384C668},18062026-11:55:11
66,,soort verzuim,,{8B730311-4D6F-4d43-8A5B-8E099B4C421C},,Association,,,,,,{610B18E6-B675-4cc0-A883-BAB9D384C668},,{45900108-585D-45ec-A042-BF4928B7F6DC},18062026-11:55:11
67,heeft verlof,heeft verlof,5342d9d1-5bd3-46bc-a78f-e9bd9b053643,{A4816678-4407-46e7-B5EC-2FEAB323A83A},association-relationship,Association,,,,,8c200706-b80b-44f7-9928-bec39e0db21f,{BBBB63AC-B546-409b-B6D4-53DB561253B7},9ba143bc-5214-4998-9041-b3dc1c22fe77,{D04135BF-C2F0-46dd-B332-F1BE36C358EF},18062026-11:55:11
68,,soort verlof,,{3EDEEC77-46DE-47eb-AD90-10AA60A69F0C},,Association,,,,,,{D04135BF-C2F0-46dd-B332-F1BE36C358EF},,{ED741EE1-E773-40e3-B0E6-8D9886EB792F},18062026-11:55:11
69,doet sollicitatiegesprek,doet sollicitatiegesprek,874f22ca-5ef2-4229-afea-dea76fd4b0f7,{5E83AD01-AAD7-4d8b-9F09-4180F84BF53B},association-relationship,Association,,,,,565033f9-9a69-4d65-ad37-f1d17ea3e937,{1D4DA0E6-DA20-4ff7-A415-B937712C6F6D},8c200706-b80b-44f7-9928-bec39e0db21f,{BBBB63AC-B546-409b-B6D4-53DB561253B7},18062026-11:55:11
70,solliciteert,solliciteert,76582d91-7e3c-4efc-befc-d07cdd39fe81,{D49B7ECE-0089-4d69-970C-8AB585251F66},association-relationship,Association,,,,,8c200706-b80b-44f7-9928-bec39e0db21f,{BBBB63AC-B546-409b-B6D4-53DB561253B7},3dbc7681-e73c-46c5-80bc-434afc971eef,{3BD1368C-23F1-4f42-99DB-C81581A646A0},18062026-11:55:11
71,in kader van,in kader van,3db1a1b4-7ba4-49c9-96fd-d5e0f8857da0,{34310019-D4F3-4952-97C7-EE9936584868},association-relationship,Association,,,,,565033f9-9a69-4d65-ad37-f1d17ea3e937,{1D4DA0E6-DA20-4ff7-A415-B937712C6F6D},3dbc7681-e73c-46c5-80bc-434afc971eef,{3BD1368C-23F1-4f42-99DB-C81581A646A0},18062026-11:55:11
72,op vacature,op vacature,ffb8bccc-96ba-474c-adc5-28a79f27d4f9,{69D5B4D8-4D23-4a03-AF7E-9DD4B3B0B439},association-relationship,Association,,,,,3dbc7681-e73c-46c5-80bc-434afc971eef,{3BD1368C-23F1-4f42-99DB-C81581A646A0},bd6c1561-9387-409b-a16b-99e79492ad3d,{DC978807-5F36-4148-B816-D6886D026DD8},18062026-11:55:11
73,kandidaat,kandidaat,2f2e3252-46f6-4ff7-b7ac-b85b4fa292ec,{BED7E9A7-0ECA-4b8b-8EF8-117D8668B970},association-relationship,Association,,,,,565033f9-9a69-4d65-ad37-f1d17ea3e937,{1D4DA0E6-DA20-4ff7-A415-B937712C6F6D},ddefe4a6-d89c-432d-b27a-b96cb575b16a,{131BDD67-2A31-43c5-9125-F12DE2D98D2D},18062026-11:55:11
74,solliciteert op functie,solliciteert op functie,178f4482-b733-4ff0-8a76-bb8fb50a9087,{7ED83E72-5019-47f5-84BF-5A3DC813EF67},association-relationship,Association,,,,,ddefe4a6-d89c-432d-b27a-b96cb575b16a,{131BDD67-2A31-43c5-9125-F12DE2D98D2D},3dbc7681-e73c-46c5-80bc-434afc971eef,{3BD1368C-23F1-4f42-99DB-C81581A646A0},18062026-11:55:11
75,heeft,heeft,a83259ac-60d3-412b-9566-67a8389dd5b0,{58514271-87E3-4f5f-A3E4-AF251AA7D9C9},association-relationship,Association,,,,,8c200706-b80b-44f7-9928-bec39e0db21f,{BBBB63AC-B546-409b-B6D4-53DB561253B7},4adcc34d-9843-4735-9abb-48d9d58eab0c,{BF424764-453D-46cc-817C-3A7BDC4134A7},18062026-11:55:11
76,is partner van,is partner van,1cbf5573-5e8f-4914-a34b-c7db0866017f,{04C60911-78B7-4a60-BF69-BF5722278217},association-relationship,Association,,,,,8c200706-b80b-44f7-9928-bec39e0db21f,{BBBB63AC-B546-409b-B6D4-53DB561253B7},24e40e1f-4e7b-47ad-a1b3-4050e365f68a,{FE559B58-A6CD-4108-82BE-98E1AEBFD9BD},18062026-11:55:11
