authentiek,begrip,GGM-bron,created,datum_opname,definitie,dst_class_id,dst_documentation,dst_mult_end,dst_mult_start,dst_multiplicity,dst_role,heeft_tijdlijn_geldigheid,heeft_tijdlijn_registratie,herkomst,herkomst_definitie,GGM-guid,indicatie_formele_historie,indicatie_in_onderzoek,indicatie_materiele_historie,kwaliteit,modified,mogelijk_geen_waarde,GGM-naam,order,populatie,schema_id,src_class_id,src_documentation,src_mult_end,src_mult_start,src_multiplicity,src_role,stereotype,GGM-synoniemen,GGM-toelichting,GGM-uml-type,Datum-tijd-export
,,,,,,EAID_8D52E9F1_9CC9_42c6_A347_E68E29718E55,,-1,1,,,Nee,Nee,,,EAID_02F47C2D_6990_48f3_A445_0A1010D4A818,Nee,Nee,Nee,,,Ja,heeft huurrecht,,,GGM_ROOT_SCHEMA,EAID_B75EE7EF_DC1F_47da_A95C_B9662075684D,,-1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_A110896B_0CAD_46cf_9226_840DEE3328F0,,1,0,,,Nee,Nee,,,EAID_C2B5F5BE_EBBD_4eb1_B0B3_689D079662BE,Nee,Nee,Nee,,,Ja,leidt tot,,,GGM_ROOT_SCHEMA,EAID_A31C3B5D_EAC5_482d_8816_8B858EC4BE01,,1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_C1542AC8_2F3C_4e62_ADFA_A9FB3358DAB1,,1,1,,,Nee,Nee,,,EAID_73891901_299C_4b86_B0BE_B9D85E13C08B,Nee,Nee,Nee,,,Ja,,,,GGM_ROOT_SCHEMA,EAID_D46DA88A_F3EB_4c72_85DA_C0C4239289E2,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_8C809341_AC60_4378_8BA0_0843E8C06AF3,,1,1,,,Nee,Nee,,,EAID_F6CE3998_EF89_46c2_A99E_7D8F594782D5,Nee,Nee,Nee,,,Ja,is betrokken bij,,,GGM_ROOT_SCHEMA,EAID_D46DA88A_F3EB_4c72_85DA_C0C4239289E2,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_C1542AC8_2F3C_4e62_ADFA_A9FB3358DAB1,,1,1,,,Nee,Nee,,,EAID_B0C2A9A7_90BC_44d0_9F0B_BDF158E4CBDD,Nee,Nee,Nee,,,Ja,,,,GGM_ROOT_SCHEMA,EAID_DCF0623A_694F_4b82_B615_F499F169C19A,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_8C809341_AC60_4378_8BA0_0843E8C06AF3,,1,1,,,Nee,Nee,,,EAID_B236458D_84DF_4f68_A42A_50E754D9CBA3,Nee,Nee,Nee,,,Ja,is ontstaan uit,,,GGM_ROOT_SCHEMA,EAID_DCF0623A_694F_4b82_B615_F499F169C19A,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_CB7BA76D_0793_4d5a_9596_533C5BC56BBF,,1,1,,,Nee,Nee,,,EAID_F2BB0B84_CC53_4d49_8F47_BF8032EF63DB,Nee,Nee,Nee,,,Ja,heeft,,,GGM_ROOT_SCHEMA,EAID_0B3F8A89_F21E_4bea_9620_8D6713AB632C,,1,1,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_8A04280B_E0B4_4e36_B448_C99750393D0D,,1,1,,,Nee,Nee,,,EAID_0D455136_E7F3_45b9_856F_99BD1C12F7EF,Nee,Nee,Nee,,,Ja,heeft Adresseerbaar object,,,GGM_ROOT_SCHEMA,EAID_049E7FD0_D515_4057_9C87_A09980C5DE6A,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_9775E778_DBF8_4122_94CE_551466B62F46,,1,1,,,Nee,Nee,,,EAID_A32B511F_6DE7_4c10_8F83_466FFB1BDCD6,Nee,Nee,Nee,,,Ja,heeft adres,,,GGM_ROOT_SCHEMA,EAID_049E7FD0_D515_4057_9C87_A09980C5DE6A,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_54697170_4C4D_40f6_9E08_35DF1970B8C6,,-1,0,,,Nee,Nee,,,EAID_0828CF48_6C0B_4f1a_A018_B192EBF74730,Nee,Nee,Nee,,,Ja,bestaat uit,,,GGM_ROOT_SCHEMA,EAID_A110896B_0CAD_46cf_9226_840DEE3328F0,,1,1,,,,,,Association,12052026-14:54:01
